block,count,means,stndDev,min,25%,50%,75%,max
0,495.0,0.7676767676767676,0.422741266864472,0.0,1.0,1.0,1.0,1.0
1,495.0,0.8343434343434344,0.37214816173632775,0.0,1.0,1.0,1.0,1.0
2,495.0,0.8666666666666667,0.34027852368936023,0.0,1.0,1.0,1.0,1.0
3,495.0,0.901010101010101,0.2989505766279505,0.0,1.0,1.0,1.0,1.0
4,495.0,0.8666666666666667,0.3402785236893603,0.0,1.0,1.0,1.0,1.0
