,Category-Diff,Cold Means,Cold SD,Full Means,Full SD,Reduced Means,Reduced SD,No Obs Means,No Obs SD,F statistic,p value,n
0,Alpha-Beta,4.636363636363637,1.2167659925061516,4.833333333333333,1.3394467690277294,5.2105263157894735,0.7132825035177586,4.722222222222222,1.7083034430670598,0.7621771447838047,0.5189213776024106,134
1,Beta-Gamma,5.444444444444445,0.6156987634551992,5.375,0.806225774829855,5.5,0.5144957554275266,5.117647058823529,1.536324873731809,0.5495980941524654,0.6502085346347795,134
