stimId,count,mean,std,min,25%,50%,75%,max
A1,31.0,4.419354838709677,2.0293544712278515,0.0,3.0,5.0,6.0,6.0
A2,31.0,4.290322580645161,1.9865136695074073,0.0,3.0,5.0,6.0,6.0
A3,31.0,4.096774193548387,1.7388662725978945,0.0,3.0,4.0,6.0,6.0
A4,31.0,3.935483870967742,1.7114415730794073,0.0,2.5,4.0,6.0,6.0
A5,31.0,3.2580645161290325,1.9142925923254934,0.0,2.0,3.0,5.0,6.0
B1,31.0,4.774193548387097,1.4767007690423686,0.9999999999999998,4.0,5.0,6.0,6.0
B2,31.0,4.67741935483871,1.4694011654229202,0.9999999999999998,4.0,5.0,6.0,6.0
B3,31.0,4.0,1.8618986725025255,0.9999999999999998,2.0,4.0,6.0,6.0
B4,31.0,3.032258064516129,2.2283606974297188,0.0,0.9999999999999998,3.0,5.0,6.0
B5,31.0,1.967741935483871,2.0409780493306293,0.0,0.0,0.9999999999999998,3.0,6.0
G1,31.0,4.967741935483871,1.5162205417361931,0.0,4.5,6.0,6.0,6.0
G2,31.0,5.419354838709677,1.1768373874750666,0.9999999999999998,5.0,6.0,6.0,6.0
G3,31.0,5.387096774193548,1.2563815597404773,0.9999999999999998,5.0,6.0,6.0,6.0
G4,31.0,5.387096774193548,1.5204696501374984,0.0,5.5,6.0,6.0,6.0
G5,31.0,5.645161290322581,1.379574501957619,0.0,6.0,6.0,6.0,6.0
