stimId,response,counts,mean,std,min,25%,50%,75%,max
T1000,Beta,10.0,12227.7,49.21844730947488,12143.0,12193.25,12225.0,12269.5,12297.0
T1000,Gamma,23.0,12231.434782608696,62.09949940286924,12134.0,12188.0,12225.0,12284.0,12321.0
T500,Alpha,7.0,12237.285714285714,65.44390546036172,12134.0,12194.0,12273.0,12284.5,12297.0
T500,Beta,26.0,12228.423076923076,56.783217997519706,12137.0,12191.25,12220.5,12279.75,12321.0
