,Category,Cold Means,Cold SD,Full Means,Full SD,Reduced Means,Reduced SD,No Obs Means,No Obs SD,F statistic,p value,n
0,Alpha,0.8636363636363636,1.082125533843311,1.1818181818181819,1.7786613965666327,1.8125,1.2763881332363862,1.5333333333333334,1.6846647257229665,1.5534951911430197,0.21004860040950804,134
1,Beta,2.9583333333333335,1.2676293062133799,3.3529411764705883,1.6179144164088315,3.1666666666666665,1.337115846843043,2.5714285714285716,1.4525460784051258,0.841953206998845,0.47601428821883174,134
2,Gamma,5.041666666666667,0.750603621828092,4.444444444444445,1.542428269748795,5.3125,0.6020797289396148,4.923076923076923,1.8912755158683456,1.510903039386162,0.2196929129394272,134
