block,count,means,stndDev,min,25%,50%,75%,max
0,310.0,0.7161290322580646,0.4516039549916597,0.0,0.0,1.0,1.0,1.0
1,310.0,0.8548387096774194,0.35283292678669725,0.0,1.0,1.0,1.0,1.0
2,310.0,0.8612903225806452,0.3462021589440204,0.0,1.0,1.0,1.0,1.0
3,310.0,0.8838709677419355,0.32089758238058014,0.0,1.0,1.0,1.0,1.0
4,310.0,0.8709677419354839,0.335777654498117,0.0,1.0,1.0,1.0,1.0
