stimId,response,counts,mean,std,min,25%,50%,75%,max
T1000,Alpha,2.0,12236.5,26.16295090390226,12218.0,12227.25,12236.5,12245.75,12255.0
T1000,Beta,7.0,12205.42857142857,51.29281022670118,12133.0,12174.5,12199.0,12239.5,12278.0
T1000,Gamma,22.0,12188.045454545454,208.38436950631748,11296.0,12185.5,12225.5,12285.25,12320.0
T500,Alpha,3.0,12182.333333333334,45.98188048931158,12133.0,12161.5,12190.0,12207.0,12224.0
T500,Beta,27.0,12195.666666666666,188.96418056992056,11296.0,12185.5,12227.0,12280.5,12320.0
T500,Gamma,1.0,12218.0,,12218.0,12218.0,12218.0,12218.0,12218.0
