trial,block,stimId1,stimID2,category1,category2,response,rt,condition,id,phase
1,0,C1250,C1450,Gamma,Gamma,3.0,9820,3,12189,similarity
2,0,C1250,C1350,Gamma,Gamma,4.0,5455,3,12189,similarity
3,0,C1250,B650,Gamma,Beta,0.9999999999999998,8047,3,12189,similarity
4,0,C1250,A450,Gamma,Alpha,0.9999999999999998,1339,3,12189,similarity
5,0,C1250,A150,Gamma,Alpha,0.0,2546,3,12189,similarity
6,0,C1250,B750,Gamma,Beta,2.0,10270,3,12189,similarity
7,0,C1250,A250,Gamma,Alpha,0.9999999999999998,2369,3,12189,similarity
8,0,C1250,C1050,Gamma,Gamma,4.0,7200,3,12189,similarity
9,0,C1250,B950,Gamma, Beta,4.0,1491,3,12189,similarity
10,0,C1250,A50,Gamma,Alpha,0.0,3483,3,12189,similarity
11,0,C1250,B550,Gamma,Beta,0.9999999999999998,5907,3,12189,similarity
12,0,C1250,C1150,Gamma,Gamma,5.0,5091,3,12189,similarity
13,0,C1250,B850,Gamma,Beta,4.0,3534,3,12189,similarity
14,0,C1250,A350,Gamma,Alpha,0.9999999999999998,3914,3,12189,similarity
2,1,C1450,C1350,Gamma,Gamma,5.0,4389,3,12189,similarity
3,1,C1450,B650,Gamma,Beta,2.0,10474,3,12189,similarity
4,1,C1450,A450,Gamma,Alpha,2.0,2360,3,12189,similarity
5,1,C1450,A150,Gamma,Alpha,0.0,2723,3,12189,similarity
6,1,C1450,B750,Gamma,Beta,0.9999999999999998,3157,3,12189,similarity
7,1,C1450,A250,Gamma,Alpha,0.0,4445,3,12189,similarity
8,1,C1450,C1050,Gamma,Gamma,4.0,3762,3,12189,similarity
9,1,C1450,B950,Gamma, Beta,4.0,1146,3,12189,similarity
10,1,C1450,A50,Gamma,Alpha,0.0,2716,3,12189,similarity
11,1,C1450,B550,Gamma,Beta,0.9999999999999998,10757,3,12189,similarity
12,1,C1450,C1150,Gamma,Gamma,4.0,2498,3,12189,similarity
13,1,C1450,B850,Gamma,Beta,3.0,7485,3,12189,similarity
14,1,C1450,A350,Gamma,Alpha,0.9999999999999998,2760,3,12189,similarity
3,2,C1350,B650,Gamma,Beta,2.0,2576,3,12189,similarity
4,2,C1350,A450,Gamma,Alpha,2.0,999,3,12189,similarity
5,2,C1350,A150,Gamma,Alpha,0.0,2231,3,12189,similarity
6,2,C1350,B750,Gamma,Beta,3.0,2892,3,12189,similarity
7,2,C1350,A250,Gamma,Alpha,0.9999999999999998,2727,3,12189,similarity
8,2,C1350,C1050,Gamma,Gamma,4.0,7544,3,12189,similarity
9,2,C1350,B950,Gamma, Beta,4.0,1000,3,12189,similarity
10,2,C1350,A50,Gamma,Alpha,0.0,2455,3,12189,similarity
11,2,C1350,B550,Gamma,Beta,2.0,8900,3,12189,similarity
12,2,C1350,C1150,Gamma,Gamma,5.0,9612,3,12189,similarity
13,2,C1350,B850,Gamma,Beta,4.0,2932,3,12189,similarity
14,2,C1350,A350,Gamma,Alpha,2.0,2476,3,12189,similarity
4,3,B650,A450,Beta,Alpha,4.0,5557,3,12189,similarity
5,3,B650,A150,Beta,Alpha,0.9999999999999998,2661,3,12189,similarity
6,3,B650,B750,Beta,Beta,5.0,3001,3,12189,similarity
7,3,B650,A250,Beta,Alpha,2.0,5151,3,12189,similarity
8,3,B650,C1050,Beta,Gamma,3.0,6554,3,12189,similarity
9,3,B650,B950,Beta, Beta,3.0,1427,3,12189,similarity
10,3,B650,A50,Beta,Alpha,0.0,2603,3,12189,similarity
11,3,B650,B550,Beta,Beta,5.0,3828,3,12189,similarity
12,3,B650,C1150,Beta,Gamma,3.0,6192,3,12189,similarity
13,3,B650,B850,Beta,Beta,4.0,2059,3,12189,similarity
14,3,B650,A350,Beta,Alpha,2.0,3235,3,12189,similarity
5,4,A450,A150,Alpha,Alpha,0.9999999999999998,3659,3,12189,similarity
6,4,A450,B750,Alpha,Beta,3.0,4803,3,12189,similarity
7,4,A450,A250,Alpha,Alpha,3.0,8989,3,12189,similarity
8,4,A450,C1050,Alpha,Gamma,2.0,29178,3,12189,similarity
9,4,A450,B950,Alpha, Beta,2.0,3872,3,12189,similarity
10,4,A450,A50,Alpha,Alpha,0.0,2434,3,12189,similarity
11,4,A450,B550,Alpha,Beta,5.0,4704,3,12189,similarity
12,4,A450,C1150,Alpha,Gamma,2.0,3259,3,12189,similarity
13,4,A450,B850,Alpha,Beta,3.0,2345,3,12189,similarity
14,4,A450,A350,Alpha,Alpha,5.0,2975,3,12189,similarity
6,5,A150,B750,Alpha,Beta,0.0,9037,3,12189,similarity
7,5,A150,A250,Alpha,Alpha,5.0,5084,3,12189,similarity
8,5,A150,C1050,Alpha,Gamma,0.0,2715,3,12189,similarity
9,5,A150,B950,Alpha, Beta,0.0,823,3,12189,similarity
10,5,A150,A50,Alpha,Alpha,2.0,3438,3,12189,similarity
11,5,A150,B550,Alpha,Beta,0.9999999999999998,2339,3,12189,similarity
12,5,A150,C1150,Alpha,Gamma,0.0,2236,3,12189,similarity
13,5,A150,B850,Alpha,Beta,0.0,2419,3,12189,similarity
14,5,A150,A350,Alpha,Alpha,2.0,3641,3,12189,similarity
7,6,B750,A250,Beta,Alpha,0.9999999999999998,2805,3,12189,similarity
8,6,B750,C1050,Beta,Gamma,4.0,3076,3,12189,similarity
9,6,B750,B950,Beta, Beta,4.0,2137,3,12189,similarity
10,6,B750,A50,Beta,Alpha,0.0,2079,3,12189,similarity
11,6,B750,B550,Beta,Beta,4.0,7343,3,12189,similarity
12,6,B750,C1150,Beta,Gamma,4.0,4995,3,12189,similarity
13,6,B750,B850,Beta,Beta,5.0,2106,3,12189,similarity
14,6,B750,A350,Beta,Alpha,2.0,2893,3,12189,similarity
8,7,A250,C1050,Alpha,Gamma,0.9999999999999998,2638,3,12189,similarity
9,7,A250,B950,Alpha, Beta,0.9999999999999998,2877,3,12189,similarity
10,7,A250,A50,Alpha,Alpha,0.9999999999999998,2788,3,12189,similarity
11,7,A250,B550,Alpha,Beta,2.0,4032,3,12189,similarity
12,7,A250,C1150,Alpha,Gamma,0.9999999999999998,9844,3,12189,similarity
13,7,A250,B850,Alpha,Beta,0.9999999999999998,4079,3,12189,similarity
14,7,A250,A350,Alpha,Alpha,5.0,2644,3,12189,similarity
9,8,C1050,B950,Gamma, Beta,5.0,1387,3,12189,similarity
10,8,C1050,A50,Gamma,Alpha,0.0,2587,3,12189,similarity
11,8,C1050,B550,Gamma,Beta,2.0,6199,3,12189,similarity
12,8,C1050,C1150,Gamma,Gamma,5.0,3230,3,12189,similarity
13,8,C1050,B850,Gamma,Beta,5.0,4529,3,12189,similarity
14,8,C1050,A350,Gamma,Alpha,2.0,4099,3,12189,similarity
10,9,B950,A50, Beta,Alpha,0.0,2135,3,12189,similarity
11,9,B950,B550, Beta,Beta,2.0,7999,3,12189,similarity
12,9,B950,C1150, Beta,Gamma,4.0,9732,3,12189,similarity
13,9,B950,B850, Beta,Beta,5.0,2131,3,12189,similarity
14,9,B950,A350, Beta,Alpha,0.9999999999999998,19739,3,12189,similarity
11,10,A50,B550,Alpha,Beta,0.0,2769,3,12189,similarity
12,10,A50,C1150,Alpha,Gamma,0.0,1171,3,12189,similarity
13,10,A50,B850,Alpha,Beta,0.0,880,3,12189,similarity
14,10,A50,A350,Alpha,Alpha,0.9999999999999998,3285,3,12189,similarity
12,11,B550,C1150,Beta,Gamma,2.0,6839,3,12189,similarity
13,11,B550,B850,Beta,Beta,3.0,2243,3,12189,similarity
14,11,B550,A350,Beta,Alpha,4.0,5792,3,12189,similarity
13,12,C1150,B850,Gamma,Beta,4.0,1566,3,12189,similarity
14,12,C1150,A350,Gamma,Alpha,2.0,3261,3,12189,similarity
14,13,B850,A350,Beta,Alpha,2.0,2730,3,12189,similarity
1,0,C1250,C1350,Gamma,Gamma,4.0,6446,3,12201,similarity
2,0,C1250,B950,Gamma, Beta,4.0,2969,3,12201,similarity
3,0,C1250,C1050,Gamma,Gamma,3.0,6124,3,12201,similarity
4,0,C1250,B650,Gamma,Beta,0.9999999999999998,4027,3,12201,similarity
5,0,C1250,A350,Gamma,Alpha,0.9999999999999998,1539,3,12201,similarity
6,0,C1250,A250,Gamma,Alpha,0.0,2715,3,12201,similarity
7,0,C1250,B550,Gamma,Beta,0.0,1651,3,12201,similarity
8,0,C1250,C1150,Gamma,Gamma,4.0,1822,3,12201,similarity
9,0,C1250,A150,Gamma,Alpha,0.0,2536,3,12201,similarity
10,0,C1250,A450,Gamma,Alpha,2.0,2898,3,12201,similarity
11,0,C1250,A50,Gamma,Alpha,0.0,1723,3,12201,similarity
12,0,C1250,B850,Gamma,Beta,4.0,3171,3,12201,similarity
13,0,C1250,B750,Gamma,Beta,4.0,1378,3,12201,similarity
14,0,C1250,C1450,Gamma,Gamma,5.0,2550,3,12201,similarity
2,1,C1350,B950,Gamma, Beta,4.0,5423,3,12201,similarity
3,1,C1350,C1050,Gamma,Gamma,4.0,1177,3,12201,similarity
4,1,C1350,B650,Gamma,Beta,3.0,3529,3,12201,similarity
5,1,C1350,A350,Gamma,Alpha,2.0,1714,3,12201,similarity
6,1,C1350,A250,Gamma,Alpha,2.0,1011,3,12201,similarity
7,1,C1350,B550,Gamma,Beta,3.0,2400,3,12201,similarity
8,1,C1350,C1150,Gamma,Gamma,4.0,1595,3,12201,similarity
9,1,C1350,A150,Gamma,Alpha,0.9999999999999998,1903,3,12201,similarity
10,1,C1350,A450,Gamma,Alpha,0.9999999999999998,1139,3,12201,similarity
11,1,C1350,A50,Gamma,Alpha,0.0,1333,3,12201,similarity
12,1,C1350,B850,Gamma,Beta,5.0,2106,3,12201,similarity
13,1,C1350,B750,Gamma,Beta,4.0,1610,3,12201,similarity
14,1,C1350,C1450,Gamma,Gamma,6.0,3395,3,12201,similarity
3,2,B950,C1050, Beta,Gamma,5.0,3251,3,12201,similarity
4,2,B950,B650, Beta,Beta,4.0,4111,3,12201,similarity
5,2,B950,A350, Beta,Alpha,2.0,3123,3,12201,similarity
6,2,B950,A250, Beta,Alpha,2.0,883,3,12201,similarity
7,2,B950,B550, Beta,Beta,3.0,2082,3,12201,similarity
8,2,B950,C1150, Beta,Gamma,3.0,1955,3,12201,similarity
9,2,B950,A150, Beta,Alpha,0.9999999999999998,4162,3,12201,similarity
10,2,B950,A450, Beta,Alpha,2.0,3878,3,12201,similarity
11,2,B950,A50, Beta,Alpha,0.0,2086,3,12201,similarity
12,2,B950,B850, Beta,Beta,4.0,2372,3,12201,similarity
13,2,B950,B750, Beta,Beta,4.0,1577,3,12201,similarity
14,2,B950,C1450, Beta,Gamma,3.0,2162,3,12201,similarity
4,3,C1050,B650,Gamma,Beta,3.0,1476,3,12201,similarity
5,3,C1050,A350,Gamma,Alpha,3.0,730,3,12201,similarity
6,3,C1050,A250,Gamma,Alpha,2.0,1594,3,12201,similarity
7,3,C1050,B550,Gamma,Beta,3.0,4396,3,12201,similarity
8,3,C1050,C1150,Gamma,Gamma,5.0,2987,3,12201,similarity
9,3,C1050,A150,Gamma,Alpha,0.0,2249,3,12201,similarity
10,3,C1050,A450,Gamma,Alpha,0.9999999999999998,1771,3,12201,similarity
11,3,C1050,A50,Gamma,Alpha,0.0,1378,3,12201,similarity
12,3,C1050,B850,Gamma,Beta,4.0,2019,3,12201,similarity
13,3,C1050,B750,Gamma,Beta,4.0,1069,3,12201,similarity
14,3,C1050,C1450,Gamma,Gamma,3.0,4514,3,12201,similarity
5,4,B650,A350,Beta,Alpha,3.0,1604,3,12201,similarity
6,4,B650,A250,Beta,Alpha,3.0,1627,3,12201,similarity
7,4,B650,B550,Beta,Beta,5.0,2288,3,12201,similarity
8,4,B650,C1150,Beta,Gamma,2.0,3980,3,12201,similarity
9,4,B650,A150,Beta,Alpha,2.0,1371,3,12201,similarity
10,4,B650,A450,Beta,Alpha,4.0,1921,3,12201,similarity
