trial,block,stimId,category,response,rt,condition,id,phase
0,0,A450,Alpha,0.9999999999999998,24991,3,12189,typicality2
1,0,B650,Beta,5.0,12942,3,12189,typicality2
2,0,C1250,Gamma,6.0,10364,3,12189,typicality2
3,0,B950, Beta,0.9999999999999998,5984,3,12189,typicality2
4,0,C1050,Gamma,3.0,11151,3,12189,typicality2
5,0,B550,Beta,2.0,6302,3,12189,typicality2
6,0,C1450,Gamma,6.0,2748,3,12189,typicality2
7,0,A50,Alpha,6.0,2545,3,12189,typicality2
8,0,A150,Alpha,5.0,3247,3,12189,typicality2
9,0,B750,Beta,3.0,3453,3,12189,typicality2
10,0,B850,Beta,3.0,4314,3,12189,typicality2
11,0,A350,Alpha,2.0,19748,3,12189,typicality2
12,0,A250,Alpha,3.0,8724,3,12189,typicality2
13,0,C1150,Gamma,5.0,3223,3,12189,typicality2
14,0,C1350,Gamma,6.0,3093,3,12189,typicality2
0,0,B850,Beta,5.0,12998,3,12201,typicality2
1,0,C1350,Gamma,6.0,2537,3,12201,typicality2
2,0,C1250,Gamma,4.0,5860,3,12201,typicality2
3,0,C1450,Gamma,6.0,2252,3,12201,typicality2
4,0,A350,Alpha,0.9999999999999998,9426,3,12201,typicality2
5,0,C1150,Gamma,2.0,6533,3,12201,typicality2
6,0,B950, Beta,2.0,1804,3,12201,typicality2
7,0,A50,Alpha,6.0,3388,3,12201,typicality2
8,0,A150,Alpha,6.0,1762,3,12201,typicality2
9,0,B550,Beta,2.0,6637,3,12201,typicality2
10,0,A250,Alpha,4.0,4012,3,12201,typicality2
11,0,B650,Beta,6.0,3915,3,12201,typicality2
12,0,A450,Alpha,2.0,2779,3,12201,typicality2
13,0,B750,Beta,5.0,3116,3,12201,typicality2
14,0,C1050,Gamma,2.0,2565,3,12201,typicality2
0,0,B950, Beta,0.9999999999999998,23796,3,12135,typicality2
1,0,B850,Beta,0.9999999999999998,10196,3,12135,typicality2
2,0,C1350,Gamma,6.0,5739,3,12135,typicality2
3,0,A150,Alpha,6.0,5267,3,12135,typicality2
4,0,C1250,Gamma,6.0,4825,3,12135,typicality2
5,0,A450,Alpha,4.0,8907,3,12135,typicality2
6,0,B650,Beta,4.0,14316,3,12135,typicality2
7,0,C1050,Gamma,5.0,5668,3,12135,typicality2
8,0,B750,Beta,3.0,6985,3,12135,typicality2
9,0,A350,Alpha,6.0,6237,3,12135,typicality2
10,0,C1150,Gamma,5.0,4285,3,12135,typicality2
11,0,B550,Beta,2.0,11015,3,12135,typicality2
12,0,A250,Alpha,6.0,5587,3,12135,typicality2
13,0,C1450,Gamma,6.0,8292,3,12135,typicality2
14,0,A50,Alpha,6.0,3033,3,12135,typicality2
0,0,C1250,Gamma,5.0,19577,3,12274,typicality2
1,0,C1150,Gamma,5.0,6154,3,12274,typicality2
2,0,C1050,Gamma,4.0,5000,3,12274,typicality2
3,0,B950, Beta,4.0,3717,3,12274,typicality2
4,0,B650,Beta,6.0,10462,3,12274,typicality2
5,0,C1350,Gamma,6.0,3388,3,12274,typicality2
6,0,C1450,Gamma,6.0,1841,3,12274,typicality2
7,0,A350,Alpha,5.0,12301,3,12274,typicality2
8,0,B550,Beta,5.0,5024,3,12274,typicality2
9,0,A150,Alpha,6.0,4241,3,12274,typicality2
10,0,A450,Alpha,3.0,3326,3,12274,typicality2
11,0,A250,Alpha,6.0,6703,3,12274,typicality2
12,0,B850,Beta,0.0,6226,3,12274,typicality2
13,0,A50,Alpha,6.0,4750,3,12274,typicality2
14,0,B750,Beta,3.0,8147,3,12274,typicality2
0,0,A450,Alpha,5.0,30612,3,12316,typicality2
1,0,C1450,Gamma,6.0,5168,3,12316,typicality2
2,0,A50,Alpha,6.0,7119,3,12316,typicality2
3,0,C1350,Gamma,6.0,3995,3,12316,typicality2
4,0,C1050,Gamma,5.0,2960,3,12316,typicality2
5,0,A350,Alpha,2.0,4764,3,12316,typicality2
6,0,A150,Alpha,0.9999999999999998,2692,3,12316,typicality2
7,0,A250,Alpha,0.9999999999999998,2674,3,12316,typicality2
8,0,B950, Beta,2.0,20883,3,12316,typicality2
9,0,B750,Beta,3.0,5195,3,12316,typicality2
10,0,C1250,Gamma,5.0,6717,3,12316,typicality2
11,0,B850,Beta,4.0,3809,3,12316,typicality2
12,0,C1150,Gamma,5.0,3256,3,12316,typicality2
13,0,B550,Beta,6.0,11644,3,12316,typicality2
14,0,B650,Beta,5.0,4510,3,12316,typicality2
0,0,C1150,Gamma,5.0,13300,3,12322,typicality2
1,0,C1450,Gamma,6.0,2434,3,12322,typicality2
2,0,A450,Alpha,4.0,7963,3,12322,typicality2
3,0,B950, Beta,0.9999999999999998,6987,3,12322,typicality2
4,0,C1250,Gamma,6.0,4245,3,12322,typicality2
5,0,B750,Beta,2.0,4244,3,12322,typicality2
6,0,A350,Alpha,5.0,5785,3,12322,typicality2
7,0,C1050,Gamma,5.0,6411,3,12322,typicality2
8,0,A250,Alpha,5.0,348,3,12322,typicality2
9,0,B850,Beta,0.9999999999999998,7885,3,12322,typicality2
10,0,B650,Beta,4.0,5690,3,12322,typicality2
11,0,C1350,Gamma,6.0,2181,3,12322,typicality2
12,0,A150,Alpha,6.0,3076,3,12322,typicality2
13,0,A50,Alpha,6.0,3413,3,12322,typicality2
14,0,B550,Beta,4.0,3844,3,12322,typicality2
