trial,block,stimId,category,response,accuracy,rt,condition,id,phase
10,0,A150,Alpha,Alpha,True,957,2,12163,trainPhase
11,0,C1450,Gamma,Gamma,True,845,2,12163,trainPhase
12,0,B850,Beta,Gamma,False,1461,2,12163,trainPhase
13,0,B750,Beta,Beta,True,893,2,12163,trainPhase
14,0,C1050,Gamma,Gamma,True,1798,2,12163,trainPhase
0,1,A450,Alpha,Beta,False,1306,2,12163,trainPhase
1,1,A50,Alpha,Alpha,True,1133,2,12163,trainPhase
2,1,C1250,Gamma,Gamma,True,1131,2,12163,trainPhase
3,1,A250,Alpha,Alpha,True,1244,2,12163,trainPhase
4,1,B650,Beta,Beta,True,2099,2,12163,trainPhase
5,1,B550,Beta,Alpha,False,2546,2,12163,trainPhase
6,1,C1150,Gamma,Gamma,True,917,2,12163,trainPhase
7,1,C1350,Gamma,Gamma,True,741,2,12163,trainPhase
8,1,C1450,Gamma,Gamma,True,917,2,12163,trainPhase
9,1,A350,Alpha,Alpha,True,1262,2,12163,trainPhase
10,1,B750,Beta,Beta,True,763,2,12163,trainPhase
11,1,A150,Alpha,Alpha,True,782,2,12163,trainPhase
12,1,C1050,Gamma,Gamma,True,1506,2,12163,trainPhase
13,1,B850,Beta,Gamma,False,1333,2,12163,trainPhase
14,1,B950,Beta,Gamma,False,1129,2,12163,trainPhase
0,2,B750,Beta,Beta,True,934,2,12163,trainPhase
1,2,B550,Beta,Beta,True,1501,2,12163,trainPhase
2,2,A50,Alpha,Alpha,True,826,2,12163,trainPhase
3,2,B850,Beta,Beta,True,922,2,12163,trainPhase
4,2,C1350,Gamma,Gamma,True,781,2,12163,trainPhase
5,2,A450,Alpha,Beta,False,1941,2,12163,trainPhase
6,2,A250,Alpha,Alpha,True,741,2,12163,trainPhase
7,2,B950,Beta,Gamma,False,2927,2,12163,trainPhase
8,2,C1450,Gamma,Gamma,True,790,2,12163,trainPhase
9,2,C1250,Gamma,Gamma,True,965,2,12163,trainPhase
10,2,C1150,Gamma,Gamma,True,1029,2,12163,trainPhase
11,2,A150,Alpha,Alpha,True,1439,2,12163,trainPhase
12,2,B650,Beta,Beta,True,1045,2,12163,trainPhase
13,2,A350,Alpha,Alpha,True,908,2,12163,trainPhase
14,2,C1050,Gamma,Beta,False,854,2,12163,trainPhase
0,3,A450,Alpha,Alpha,True,2064,2,12163,trainPhase
1,3,A350,Alpha,Alpha,True,758,2,12163,trainPhase
2,3,C1150,Gamma,Gamma,True,1110,2,12163,trainPhase
3,3,C1050,Gamma,Gamma,True,709,2,12163,trainPhase
4,3,C1450,Gamma,Gamma,True,699,2,12163,trainPhase
5,3,C1250,Gamma,Gamma,True,902,2,12163,trainPhase
6,3,C1350,Gamma,Gamma,True,765,2,12163,trainPhase
7,3,A50,Alpha,Alpha,True,1182,2,12163,trainPhase
8,3,A250,Alpha,Alpha,True,1061,2,12163,trainPhase
9,3,B850,Beta,Beta,True,1158,2,12163,trainPhase
10,3,B550,Beta,Beta,True,1025,2,12163,trainPhase
11,3,A150,Alpha,Alpha,True,734,2,12163,trainPhase
12,3,B750,Beta,Beta,True,1278,2,12163,trainPhase
13,3,B650,Beta,Beta,True,838,2,12163,trainPhase
14,3,B950,Beta,Beta,True,3211,2,12163,trainPhase
0,4,C1350,Gamma,Gamma,True,757,2,12163,trainPhase
1,4,C1150,Gamma,Gamma,True,1141,2,12163,trainPhase
2,4,C1050,Gamma,Gamma,True,887,2,12163,trainPhase
3,4,B850,Beta,Beta,True,1344,2,12163,trainPhase
4,4,B950,Beta,Beta,True,862,2,12163,trainPhase
5,4,A350,Alpha,Alpha,True,773,2,12163,trainPhase
6,4,A250,Alpha,Alpha,True,982,2,12163,trainPhase
7,4,A50,Alpha,Alpha,True,1045,2,12163,trainPhase
8,4,C1250,Gamma,Gamma,True,942,2,12163,trainPhase
9,4,A450,Alpha,Alpha,True,750,2,12163,trainPhase
10,4,A150,Alpha,Alpha,True,797,2,12163,trainPhase
11,4,B750,Beta,Beta,True,1349,2,12163,trainPhase
12,4,B550,Beta,Alpha,False,1373,2,12163,trainPhase
13,4,C1450,Gamma,Gamma,True,845,2,12163,trainPhase
14,4,B650,Beta,Beta,True,1709,2,12163,trainPhase
0,0,C1250,Gamma,Alpha,False,5718,2,12188,trainPhase
1,0,C1450,Gamma,Gamma,True,2171,2,12188,trainPhase
2,0,B950,Beta,Beta,True,1835,2,12188,trainPhase
3,0,B650,Beta,Beta,True,3643,2,12188,trainPhase
4,0,C1350,Gamma,Gamma,True,1014,2,12188,trainPhase
5,0,A250,Alpha,Alpha,True,1205,2,12188,trainPhase
6,0,B850,Beta,Gamma,False,3346,2,12188,trainPhase
7,0,B550,Beta,Beta,True,1385,2,12188,trainPhase
8,0,A50,Alpha,Alpha,True,1478,2,12188,trainPhase
9,0,A450,Alpha,Alpha,True,3582,2,12188,trainPhase
10,0,C1050,Gamma,Gamma,True,4241,2,12188,trainPhase
11,0,C1150,Gamma,Gamma,True,1516,2,12188,trainPhase
12,0,A350,Alpha,Alpha,True,1460,2,12188,trainPhase
13,0,A150,Alpha,Alpha,True,2156,2,12188,trainPhase
14,0,B750,Beta,Beta,True,1528,2,12188,trainPhase
0,1,A50,Alpha,Alpha,True,1028,2,12188,trainPhase
