trial,block,stimId,category,response,rt,condition,id,phase
0,0,B550,Beta,6.0,4904,2,12160,typicality2
1,0,A50,Alpha,6.0,4048,2,12160,typicality2
2,0,B650,Beta,5.0,6913,2,12160,typicality2
3,0,A450,Alpha,5.0,3730,2,12160,typicality2
4,0,C1050,Gamma,6.0,1964,2,12160,typicality2
5,0,C1450,Gamma,6.0,1451,2,12160,typicality2
6,0,B750,Beta,5.0,3693,2,12160,typicality2
7,0,C1250,Gamma,6.0,2521,2,12160,typicality2
8,0,A350,Alpha,6.0,1876,2,12160,typicality2
9,0,B850,Beta,5.0,4129,2,12160,typicality2
10,0,B950, Beta,5.0,1596,2,12160,typicality2
11,0,A150,Alpha,6.0,2906,2,12160,typicality2
12,0,A250,Alpha,6.0,1190,2,12160,typicality2
13,0,C1350,Gamma,6.0,1244,2,12160,typicality2
14,0,C1150,Gamma,6.0,964,2,12160,typicality2
0,0,C1350,Gamma,6.0,6886,2,12163,typicality2
1,0,B550,Beta,0.9999999999999998,6274,2,12163,typicality2
2,0,C1150,Gamma,6.0,3656,2,12163,typicality2
3,0,C1450,Gamma,6.0,1106,2,12163,typicality2
4,0,A250,Alpha,6.0,4403,2,12163,typicality2
5,0,C1050,Gamma,3.0,6732,2,12163,typicality2
6,0,B750,Beta,0.0,4340,2,12163,typicality2
7,0,A450,Alpha,0.0,2356,2,12163,typicality2
8,0,A50,Alpha,6.0,2779,2,12163,typicality2
9,0,A350,Alpha,6.0,1451,2,12163,typicality2
10,0,A150,Alpha,6.0,1203,2,12163,typicality2
11,0,B850,Beta,6.0,2092,2,12163,typicality2
12,0,B650,Beta,6.0,1498,2,12163,typicality2
13,0,B950, Beta,2.0,2371,2,12163,typicality2
14,0,C1250,Gamma,3.0,2948,2,12163,typicality2
0,0,B650,Beta,6.0,10388,2,12188,typicality2
1,0,B750,Beta,6.0,4495,2,12188,typicality2
2,0,C1250,Gamma,6.0,11601,2,12188,typicality2
3,0,A350,Alpha,6.0,3673,2,12188,typicality2
4,0,C1350,Gamma,6.0,1792,2,12188,typicality2
5,0,A250,Alpha,6.0,2583,2,12188,typicality2
6,0,C1150,Gamma,5.0,5911,2,12188,typicality2
7,0,B950, Beta,5.0,5784,2,12188,typicality2
8,0,C1050,Gamma,5.0,3456,2,12188,typicality2
9,0,A50,Alpha,6.0,2964,2,12188,typicality2
10,0,C1450,Gamma,6.0,1731,2,12188,typicality2
11,0,A450,Alpha,5.0,7084,2,12188,typicality2
12,0,B850,Beta,6.0,3470,2,12188,typicality2
13,0,B550,Beta,6.0,2979,2,12188,typicality2
14,0,A150,Alpha,6.0,2149,2,12188,typicality2
0,0,C1450,Gamma,6.0,11776,2,12192,typicality2
1,0,A150,Alpha,6.0,3340,2,12192,typicality2
2,0,A450,Alpha,5.0,20544,2,12192,typicality2
3,0,C1350,Gamma,6.0,4376,2,12192,typicality2
4,0,B750,Beta,6.0,4871,2,12192,typicality2
5,0,B850,Beta,5.0,5276,2,12192,typicality2
6,0,B650,Beta,6.0,10006,2,12192,typicality2
7,0,A50,Alpha,6.0,2260,2,12192,typicality2
8,0,C1150,Gamma,6.0,3960,2,12192,typicality2
9,0,A250,Alpha,6.0,2519,2,12192,typicality2
10,0,B550,Beta,6.0,2242,2,12192,typicality2
11,0,B950, Beta,0.0,16852,2,12192,typicality2
12,0,C1250,Gamma,6.0,4679,2,12192,typicality2
13,0,A350,Alpha,6.0,4262,2,12192,typicality2
14,0,C1050,Gamma,5.0,5942,2,12192,typicality2
0,0,C1250,Gamma,3.0,6656,2,12197,typicality2
1,0,B850,Beta,3.0,2534,2,12197,typicality2
2,0,A450,Alpha,3.0,689,2,12197,typicality2
3,0,A150,Alpha,3.0,452,2,12197,typicality2
4,0,B650,Beta,3.0,553,2,12197,typicality2
5,0,B550,Beta,3.0,345,2,12197,typicality2
6,0,C1450,Gamma,3.0,427,2,12197,typicality2
7,0,C1050,Gamma,3.0,473,2,12197,typicality2
8,0,C1350,Gamma,3.0,1574,2,12197,typicality2
9,0,C1150,Gamma,3.0,471,2,12197,typicality2
10,0,A350,Alpha,3.0,364,2,12197,typicality2
11,0,A50,Alpha,3.0,445,2,12197,typicality2
12,0,A250,Alpha,3.0,400,2,12197,typicality2
13,0,B750,Beta,3.0,233,2,12197,typicality2
14,0,B950, Beta,3.0,2310,2,12197,typicality2
0,0,C1150,Gamma,6.0,5594,2,12219,typicality2
1,0,C1350,Gamma,6.0,841,2,12219,typicality2
2,0,C1050,Gamma,6.0,2393,2,12219,typicality2
3,0,B550,Beta,0.0,6148,2,12219,typicality2
4,0,A350,Alpha,0.0,643,2,12219,typicality2
5,0,B950, Beta,6.0,12437,2,12219,typicality2
6,0,A450,Alpha,5.0,22503,2,12219,typicality2
7,0,C1250,Gamma,6.0,2611,2,12219,typicality2
8,0,A50,Alpha,6.0,3570,2,12219,typicality2
9,0,B750,Beta,6.0,2232,2,12219,typicality2
10,0,A250,Alpha,6.0,3622,2,12219,typicality2
11,0,A150,Alpha,6.0,1244,2,12219,typicality2
12,0,B650,Beta,6.0,1705,2,12219,typicality2
13,0,B850,Beta,6.0,1501,2,12219,typicality2
14,0,C1450,Gamma,6.0,1663,2,12219,typicality2
0,0,A250,Alpha,6.0,6784,2,12222,typicality2
1,0,B750,Beta,6.0,3883,2,12222,typicality2
2,0,C1350,Gamma,6.0,1662,2,12222,typicality2
3,0,B550,Beta,6.0,3113,2,12222,typicality2
4,0,C1450,Gamma,6.0,4262,2,12222,typicality2
5,0,A50,Alpha,6.0,1130,2,12222,typicality2
6,0,C1050,Gamma,6.0,1427,2,12222,typicality2
7,0,C1150,Gamma,6.0,1801,2,12222,typicality2
8,0,A150,Alpha,6.0,2208,2,12222,typicality2
9,0,A450,Alpha,5.0,6130,2,12222,typicality2
10,0,B950, Beta,3.0,6119,2,12222,typicality2
11,0,B650,Beta,4.0,4417,2,12222,typicality2
12,0,C1250,Gamma,6.0,3639,2,12222,typicality2
13,0,A350,Alpha,5.0,3436,2,12222,typicality2
