trial,block,stimId,category,response,accuracy,rt,condition,id,phase
0,0,C1250,Gamma,Gamma,True,2117,2,12160,testPhase
1,0,A350,Alpha,Alpha,True,1476,2,12160,testPhase
2,0,C1050,Gamma,Gamma,True,1096,2,12160,testPhase
3,0,B750,Beta,Beta,True,957,2,12160,testPhase
4,0,A150,Alpha,Alpha,True,774,2,12160,testPhase
5,0,B650,Beta,Beta,True,933,2,12160,testPhase
6,0,C1150,Gamma,Gamma,True,805,2,12160,testPhase
7,0,A50,Alpha,Alpha,True,806,2,12160,testPhase
8,0,B850,Beta,Beta,True,3198,2,12160,testPhase
9,0,T500,test,Beta,False,702,2,12160,testPhase
10,0,A250,Alpha,Alpha,True,566,2,12160,testPhase
11,0,B950, Beta,Beta,False,1069,2,12160,testPhase
12,0,T1000,test,Gamma,False,1062,2,12160,testPhase
13,0,A450,Alpha,Alpha,True,1535,2,12160,testPhase
14,0,C1350,Gamma,Gamma,True,1258,2,12160,testPhase
15,0,B550,Beta,Beta,True,930,2,12160,testPhase
16,0,C1450,Gamma,Gamma,True,870,2,12160,testPhase
0,0,A150,Alpha,Alpha,True,1305,2,12163,testPhase
1,0,B950, Beta,Gamma,False,6942,2,12163,testPhase
2,0,C1150,Gamma,Gamma,True,966,2,12163,testPhase
3,0,C1450,Gamma,Gamma,True,669,2,12163,testPhase
4,0,T1000,test,Gamma,False,2140,2,12163,testPhase
5,0,C1350,Gamma,Gamma,True,793,2,12163,testPhase
6,0,C1250,Gamma,Gamma,True,822,2,12163,testPhase
7,0,T500,test,Alpha,False,2253,2,12163,testPhase
8,0,A450,Alpha,Alpha,True,793,2,12163,testPhase
9,0,B550,Beta,Alpha,False,1086,2,12163,testPhase
10,0,A250,Alpha,Alpha,True,684,2,12163,testPhase
11,0,A50,Alpha,Alpha,True,734,2,12163,testPhase
12,0,A350,Alpha,Alpha,True,677,2,12163,testPhase
13,0,B850,Beta,Beta,True,1518,2,12163,testPhase
14,0,B650,Beta,Beta,True,1310,2,12163,testPhase
15,0,B750,Beta,Beta,True,861,2,12163,testPhase
16,0,C1050,Gamma,Gamma,True,1078,2,12163,testPhase
0,0,A50,Alpha,Alpha,True,1897,2,12188,testPhase
1,0,A450,Alpha,Alpha,True,3226,2,12188,testPhase
2,0,C1050,Gamma,Beta,False,1284,2,12188,testPhase
3,0,T500,test,Beta,False,2788,2,12188,testPhase
