trial,block,stimId,category,response,accuracy,rt,condition,id,phase
0,0,C1250,Gamma,Alpha,False,8849,3,12189,trainPhase
1,0,A50,Alpha,Alpha,True,2432,3,12189,trainPhase
2,0,C1150,Gamma,Gamma,True,1394,3,12189,trainPhase
3,0,A250,Alpha,Beta,False,1503,3,12189,trainPhase
4,0,B650,Beta,Beta,True,2907,3,12189,trainPhase
5,0,C1350,Gamma,Gamma,True,1805,3,12189,trainPhase
6,0,A450,Alpha,Beta,False,1908,3,12189,trainPhase
7,0,B550,Beta,Alpha,False,1559,3,12189,trainPhase
8,0,B750,Beta,Beta,True,1824,3,12189,trainPhase
9,0,C1450,Gamma,Gamma,True,1800,3,12189,trainPhase
10,0,B950,Beta,Gamma,False,4608,3,12189,trainPhase
11,0,B850,Beta,Beta,True,1160,3,12189,trainPhase
12,0,C1050,Gamma,Gamma,True,1325,3,12189,trainPhase
13,0,A150,Alpha,Alpha,True,1248,3,12189,trainPhase
14,0,A350,Alpha,Alpha,True,1153,3,12189,trainPhase
0,1,A450,Alpha,Alpha,True,1276,3,12189,trainPhase
1,1,C1350,Gamma,Gamma,True,1488,3,12189,trainPhase
2,1,B750,Beta,Beta,True,1892,3,12189,trainPhase
3,1,A350,Alpha,Alpha,True,2703,3,12189,trainPhase
4,1,A50,Alpha,Alpha,True,1704,3,12189,trainPhase
5,1,A150,Alpha,Alpha,True,1492,3,12189,trainPhase
6,1,B950,Beta,Beta,True,1651,3,12189,trainPhase
7,1,B650,Beta,Beta,True,1308,3,12189,trainPhase
8,1,B550,Beta,Beta,True,1266,3,12189,trainPhase
9,1,B850,Beta,Beta,True,1435,3,12189,trainPhase
10,1,C1450,Gamma,Gamma,True,1068,3,12189,trainPhase
11,1,C1050,Gamma,Gamma,True,3481,3,12189,trainPhase
12,1,C1150,Gamma,Gamma,True,1053,3,12189,trainPhase
13,1,A250,Alpha,Alpha,True,1486,3,12189,trainPhase
14,1,C1250,Gamma,Gamma,True,1644,3,12189,trainPhase
0,2,B750,Beta,Beta,True,1631,3,12189,trainPhase
1,2,C1250,Gamma,Gamma,True,1404,3,12189,trainPhase
