trial,block,stimId1,stimID2,category1,category2,response,rt,condition,id,phase
1,0,B850,A50,Alpha,Alpha,0.0,7653,1,11296,similarity
2,0,B850,C1150,Beta,Gamma,4.0,2956,1,11296,similarity
3,0,B850,A250,Beta,Alpha,0.0,4793,1,11296,similarity
4,0,B850,C1450,Beta,Gamma,6.0,2201,1,11296,similarity
5,0,B850,B950,Beta, Beta,6.0,1505,1,11296,similarity
6,0,B850,A150,Beta,Alpha,0.0,1914,1,11296,similarity
7,0,B850,B750,Beta,Beta,5.0,3572,1,11296,similarity
8,0,B850,B650,Beta,Beta,5.0,1387,1,11296,similarity
9,0,B850,A450,Beta,Alpha,5.0,754,1,11296,similarity
10,0,B850,C1250,Beta,Gamma,6.0,3818,1,11296,similarity
11,0,B850,C1050,Beta,Gamma,6.0,1442,1,11296,similarity
12,0,B850,A350,Beta,Alpha,0.9999999999999998,2739,1,11296,similarity
13,0,B850,B550,Beta,Beta,0.9999999999999998,819,1,11296,similarity
14,0,B850,C1350,Beta,Gamma,6.0,2539,1,11296,similarity
2,1,A50,C1150,Alpha,Gamma,0.0,2155,1,11296,similarity
3,1,A50,A250,Alpha,Alpha,6.0,4227,1,11296,similarity
4,1,A50,C1450,Alpha,Gamma,0.0,2047,1,11296,similarity
5,1,A50,B950,Alpha, Beta,0.0,2930,1,11296,similarity
6,1,A50,A150,Alpha,Alpha,6.0,2369,1,11296,similarity
7,1,A50,B750,Alpha,Beta,0.0,3291,1,11296,similarity
8,1,A50,B650,Alpha,Beta,0.0,763,1,11296,similarity
9,1,A50,A450,Alpha,Alpha,0.0,1282,1,11296,similarity
10,1,A50,C1250,Alpha,Gamma,0.0,1917,1,11296,similarity
11,1,A50,C1050,Alpha,Gamma,0.0,531,1,11296,similarity
12,1,A50,A350,Alpha,Alpha,6.0,3436,1,11296,similarity
13,1,A50,B550,Alpha,Beta,4.0,2707,1,11296,similarity
14,1,A50,C1350,Alpha,Gamma,0.0,2065,1,11296,similarity
3,2,C1150,A250,Gamma,Alpha,0.0,4368,1,11296,similarity
4,2,C1150,C1450,Gamma,Gamma,6.0,2319,1,11296,similarity
5,2,C1150,B950,Gamma, Beta,6.0,788,1,11296,similarity
6,2,C1150,A150,Gamma,Alpha,0.0,2267,1,11296,similarity
7,2,C1150,B750,Gamma,Beta,6.0,1914,1,11296,similarity
8,2,C1150,B650,Gamma,Beta,6.0,867,1,11296,similarity
9,2,C1150,A450,Gamma,Alpha,0.0,2723,1,11296,similarity
10,2,C1150,C1250,Gamma,Gamma,6.0,3258,1,11296,similarity
11,2,C1150,C1050,Gamma,Gamma,6.0,878,1,11296,similarity
12,2,C1150,A350,Gamma,Alpha,2.0,2214,1,11296,similarity
13,2,C1150,B550,Gamma,Beta,3.0,1571,1,11296,similarity
14,2,C1150,C1350,Gamma,Gamma,6.0,2131,1,11296,similarity
4,3,A250,C1450,Alpha,Gamma,0.0,2111,1,11296,similarity
5,3,A250,B950,Alpha, Beta,0.0,915,1,11296,similarity
6,3,A250,A150,Alpha,Alpha,6.0,2898,1,11296,similarity
7,3,A250,B750,Alpha,Beta,3.0,1947,1,11296,similarity
8,3,A250,B650,Alpha,Beta,4.0,2914,1,11296,similarity
9,3,A250,A450,Alpha,Alpha,6.0,1979,1,11296,similarity
10,3,A250,C1250,Alpha,Gamma,0.0,2034,1,11296,similarity
11,3,A250,C1050,Alpha,Gamma,0.0,970,1,11296,similarity
12,3,A250,A350,Alpha,Alpha,6.0,3217,1,11296,similarity
13,3,A250,B550,Alpha,Beta,4.0,1601,1,11296,similarity
14,3,A250,C1350,Alpha,Gamma,0.0,1827,1,11296,similarity
5,4,C1450,B950,Gamma, Beta,6.0,2194,1,11296,similarity
6,4,C1450,A150,Gamma,Alpha,0.0,1923,1,11296,similarity
7,4,C1450,B750,Gamma,Beta,6.0,1706,1,11296,similarity
8,4,C1450,B650,Gamma,Beta,3.0,1934,1,11296,similarity
9,4,C1450,A450,Gamma,Alpha,3.0,804,1,11296,similarity
