trial,block,stimId,category,response,rt,condition,id,phase
0,0,A150,Alpha,6.0,23640,2,12160,typicality1
1,0,A50,Alpha,6.0,1750,2,12160,typicality1
2,0,A250,Alpha,6.0,1055,2,12160,typicality1
3,0,A450,Alpha,6.0,702,2,12160,typicality1
4,0,A350,Alpha,6.0,505,2,12160,typicality1
0,0,A250,Alpha,5.0,69474,2,12163,typicality1
1,0,A450,Alpha,5.0,12859,2,12163,typicality1
2,0,A50,Alpha,5.0,3914,2,12163,typicality1
3,0,A150,Alpha,4.0,2675,2,12163,typicality1
4,0,A350,Alpha,4.0,1764,2,12163,typicality1
0,0,A350,Alpha,6.0,13471,2,12188,typicality1
1,0,A450,Alpha,6.0,6054,2,12188,typicality1
2,0,A50,Alpha,6.0,4114,2,12188,typicality1
3,0,A250,Alpha,6.0,3218,2,12188,typicality1
4,0,A150,Alpha,6.0,2725,2,12188,typicality1
0,0,A250,Alpha,6.0,19301,2,12192,typicality1
1,0,A450,Alpha,6.0,2272,2,12192,typicality1
2,0,A150,Alpha,6.0,2597,2,12192,typicality1
3,0,A350,Alpha,6.0,2225,2,12192,typicality1
4,0,A50,Alpha,6.0,2400,2,12192,typicality1
0,0,A350,Alpha,3.0,14511,2,12197,typicality1
1,0,A50,Alpha,3.0,2523,2,12197,typicality1
2,0,A450,Alpha,3.0,4080,2,12197,typicality1
3,0,A250,Alpha,3.0,802,2,12197,typicality1
4,0,A150,Alpha,3.0,434,2,12197,typicality1
0,0,A50,Alpha,6.0,14505,2,12219,typicality1
1,0,A150,Alpha,6.0,2278,2,12219,typicality1
2,0,A450,Alpha,6.0,1605,2,12219,typicality1
3,0,A350,Alpha,6.0,969,2,12219,typicality1
4,0,A250,Alpha,6.0,852,2,12219,typicality1
0,0,A250,Alpha,6.0,20701,2,12222,typicality1
1,0,A150,Alpha,6.0,4188,2,12222,typicality1
2,0,A450,Alpha,0.9999999999999998,8527,2,12222,typicality1
3,0,A350,Alpha,3.0,7296,2,12222,typicality1
4,0,A50,Alpha,0.9999999999999998,3796,2,12222,typicality1
0,0,A150,Alpha,6.0,15951,2,12250,typicality1
1,0,A450,Alpha,6.0,2730,2,12250,typicality1
2,0,A250,Alpha,6.0,2519,2,12250,typicality1
3,0,A350,Alpha,6.0,2158,2,12250,typicality1
4,0,A50,Alpha,6.0,2075,2,12250,typicality1
0,0,A350,Alpha,3.0,9123,2,12276,typicality1
1,0,A450,Alpha,6.0,14973,2,12276,typicality1
2,0,A150,Alpha,6.0,1351,2,12276,typicality1
3,0,A250,Alpha,6.0,619,2,12276,typicality1
4,0,A50,Alpha,6.0,538,2,12276,typicality1
0,0,A250,Alpha,5.0,17566,2,12281,typicality1
1,0,A450,Alpha,6.0,2979,2,12281,typicality1
2,0,A350,Alpha,4.0,2708,2,12281,typicality1
3,0,A150,Alpha,4.0,1792,2,12281,typicality1
4,0,A50,Alpha,5.0,2771,2,12281,typicality1
0,0,A150,Alpha,0.9999999999999998,21958,2,12287,typicality1
1,0,A250,Alpha,2.0,4247,2,12287,typicality1
2,0,A50,Alpha,2.0,5297,2,12287,typicality1
3,0,A350,Alpha,2.0,8494,2,12287,typicality1
4,0,A450,Alpha,0.9999999999999998,3422,2,12287,typicality1
0,0,A150,Alpha,3.0,25940,2,12290,typicality1
1,0,A250,Alpha,5.0,11692,2,12290,typicality1
2,0,A450,Alpha,3.0,8045,2,12290,typicality1
3,0,A350,Alpha,3.0,2456,2,12290,typicality1
4,0,A50,Alpha,3.0,15318,2,12290,typicality1
0,0,A50,Alpha,6.0,10283,2,12299,typicality1
1,0,A450,Alpha,6.0,4587,2,12299,typicality1
2,0,A250,Alpha,6.0,2688,2,12299,typicality1
3,0,A350,Alpha,6.0,686,2,12299,typicality1
4,0,A150,Alpha,6.0,635,2,12299,typicality1
0,0,A50,Alpha,2.0,15318,2,12321,typicality1
1,0,A450,Alpha,2.0,5555,2,12321,typicality1
2,0,A150,Alpha,4.0,5594,2,12321,typicality1
3,0,A350,Alpha,5.0,2905,2,12321,typicality1
4,0,A250,Alpha,5.0,1562,2,12321,typicality1
