trial,block,stimId,category,response,rt,condition,id,phase
0,0,A50,Alpha,4.0,20402,2,12143,typicality1
1,0,A450,Alpha,2.0,2559,2,12143,typicality1
2,0,A150,Alpha,5.0,2947,2,12143,typicality1
3,0,A350,Alpha,4.0,1715,2,12143,typicality1
4,0,A250,Alpha,3.0,1518,2,12143,typicality1
0,0,A150,Alpha,6.0,23640,2,12160,typicality1
1,0,A50,Alpha,6.0,1750,2,12160,typicality1
2,0,A250,Alpha,6.0,1055,2,12160,typicality1
3,0,A450,Alpha,6.0,702,2,12160,typicality1
4,0,A350,Alpha,6.0,505,2,12160,typicality1
0,0,A250,Alpha,5.0,69474,2,12163,typicality1
1,0,A450,Alpha,5.0,12859,2,12163,typicality1
2,0,A50,Alpha,5.0,3914,2,12163,typicality1
3,0,A150,Alpha,4.0,2675,2,12163,typicality1
4,0,A350,Alpha,4.0,1764,2,12163,typicality1
0,0,A50,Alpha,2.0,17947,2,12185,typicality1
1,0,A150,Alpha,6.0,3240,2,12185,typicality1
2,0,A450,Alpha,4.0,2923,2,12185,typicality1
3,0,A250,Alpha,6.0,2219,2,12185,typicality1
4,0,A350,Alpha,4.0,2267,2,12185,typicality1
0,0,A350,Alpha,6.0,13471,2,12188,typicality1
1,0,A450,Alpha,6.0,6054,2,12188,typicality1
2,0,A50,Alpha,6.0,4114,2,12188,typicality1
3,0,A250,Alpha,6.0,3218,2,12188,typicality1
4,0,A150,Alpha,6.0,2725,2,12188,typicality1
0,0,A50,Alpha,2.0,11361,2,12191,typicality1
1,0,A450,Alpha,3.0,2615,2,12191,typicality1
2,0,A150,Alpha,3.0,747,2,12191,typicality1
3,0,A350,Alpha,3.0,1691,2,12191,typicality1
4,0,A250,Alpha,3.0,757,2,12191,typicality1
0,0,A250,Alpha,6.0,19301,2,12192,typicality1
1,0,A450,Alpha,6.0,2272,2,12192,typicality1
2,0,A150,Alpha,6.0,2597,2,12192,typicality1
3,0,A350,Alpha,6.0,2225,2,12192,typicality1
4,0,A50,Alpha,6.0,2400,2,12192,typicality1
0,0,A350,Alpha,5.0,16587,2,12134,typicality1
1,0,A450,Alpha,5.0,3507,2,12134,typicality1
2,0,A250,Alpha,5.0,4861,2,12134,typicality1
3,0,A50,Alpha,6.0,3288,2,12134,typicality1
4,0,A150,Alpha,5.0,3995,2,12134,typicality1
0,0,A450,Alpha,4.0,13040,2,12194,typicality1
