trial,block,stimId1,stimID2,category1,category2,response,rt,condition,id
1,0,A50,A350,Alpha,Alpha,0.0,25729,1,12352
2,0,A50,A450,Alpha,Alpha,0.0,4366,1,12352
3,0,A50,A250,Alpha,Alpha,0.9999999999999998,4331,1,12352
4,0,A50,B750,Alpha,Beta,0.0,2923,1,12352
5,0,A50,C1150,Alpha,Gamma,0.0,3011,1,12352
6,0,A50,B950,Alpha,Gamma,0.0,3102,1,12352
7,0,A50,T500,Alpha,Beta,0.9999999999999998,3637,1,12352
8,0,A50,T1000,Alpha,Gamma,0.0,3106,1,12352
9,0,A50,A150,Alpha,Alpha,3.0,5314,1,12352
10,0,A50,B650,Alpha,Beta,0.0,3566,1,12352
11,0,A50,C1050,Alpha,Gamma,0.0,1366,1,12352
12,0,A50,B550,Alpha,Beta,0.9999999999999998,3613,1,12352
13,0,A50,C1250,Alpha,Gamma,0.0,2724,1,12352
14,0,A50,B850,Alpha, Beta,0.0,1469,1,12352
2,1,A350,A450,Alpha,Alpha,5.0,3251,1,12352
3,1,A350,A250,Alpha,Alpha,4.0,2509,1,12352
4,1,A350,B750,Alpha,Beta,2.0,2896,1,12352
5,1,A350,C1150,Alpha,Gamma,0.9999999999999998,2539,1,12352
6,1,A350,B950,Alpha,Gamma,0.9999999999999998,1844,1,12352
7,1,A350,T500,Alpha,Beta,5.0,2946,1,12352
8,1,A350,T1000,Alpha,Gamma,0.9999999999999998,4210,1,12352
9,1,A350,A150,Alpha,Alpha,4.0,2808,1,12352
10,1,A350,B650,Alpha,Beta,2.0,2271,1,12352
11,1,A350,C1050,Alpha,Gamma,0.9999999999999998,2363,1,12352
12,1,A350,B550,Alpha,Beta,5.0,4371,1,12352
13,1,A350,C1250,Alpha,Gamma,0.9999999999999998,3459,1,12352
14,1,A350,B850,Alpha, Beta,2.0,2439,1,12352
3,2,A450,A250,Alpha,Alpha,4.0,2349,1,12352
4,2,A450,B750,Alpha,Beta,2.0,2236,1,12352
5,2,A450,C1150,Alpha,Gamma,0.9999999999999998,1954,1,12352
6,2,A450,B950,Alpha,Gamma,0.9999999999999998,1211,1,12352
7,2,A450,T500,Alpha,Beta,5.0,4112,1,12352
8,2,A450,T1000,Alpha,Gamma,2.0,3635,1,12352
9,2,A450,A150,Alpha,Alpha,2.0,2863,1,12352
10,2,A450,B650,Alpha,Beta,3.0,2035,1,12352
11,2,A450,C1050,Alpha,Gamma,2.0,1961,1,12352
12,2,A450,B550,Alpha,Beta,5.0,2793,1,12352
13,2,A450,C1250,Alpha,Gamma,2.0,2623,1,12352
14,2,A450,B850,Alpha, Beta,4.0,2349,1,12352
4,3,A250,B750,Alpha,Beta,3.0,3207,1,12352
5,3,A250,C1150,Alpha,Gamma,0.9999999999999998,2164,1,12352
6,3,A250,B950,Alpha,Gamma,0.9999999999999998,1237,1,12352
7,3,A250,T500,Alpha,Beta,4.0,2683,1,12352
8,3,A250,T1000,Alpha,Gamma,2.0,2006,1,12352
9,3,A250,A150,Alpha,Alpha,4.0,2436,1,12352
10,3,A250,B650,Alpha,Beta,2.0,3625,1,12352
11,3,A250,C1050,Alpha,Gamma,0.9999999999999998,2174,1,12352
12,3,A250,B550,Alpha,Beta,4.0,2246,1,12352
13,3,A250,C1250,Alpha,Gamma,0.9999999999999998,1954,1,12352
14,3,A250,B850,Alpha, Beta,2.0,2555,1,12352
5,4,B750,C1150,Beta,Gamma,5.0,2173,1,12352
6,4,B750,B950,Beta,Gamma,5.0,1557,1,12352
7,4,B750,T500,Beta,Beta,4.0,2053,1,12352
8,4,B750,T1000,Beta,Gamma,5.0,3321,1,12352
9,4,B750,A150,Beta,Alpha,2.0,2292,1,12352
10,4,B750,B650,Beta,Beta,5.0,2965,1,12352
11,4,B750,C1050,Beta,Gamma,4.0,3214,1,12352
12,4,B750,B550,Beta,Beta,4.0,1684,1,12352
13,4,B750,C1250,Beta,Gamma,3.0,1984,1,12352
14,4,B750,B850,Beta, Beta,5.0,3277,1,12352
6,5,C1150,B950,Gamma,Gamma,5.0,1449,1,12352
7,5,C1150,T500,Gamma,Beta,2.0,2320,1,12352
8,5,C1150,T1000,Gamma,Gamma,5.0,1936,1,12352
9,5,C1150,A150,Gamma,Alpha,0.9999999999999998,2562,1,12352
10,5,C1150,B650,Gamma,Beta,0.9999999999999998,1475,1,12352
11,5,C1150,C1050,Gamma,Gamma,5.0,2156,1,12352
12,5,C1150,B550,Gamma,Beta,3.0,2331,1,12352
13,5,C1150,C1250,Gamma,Gamma,6.0,4041,1,12352
14,5,C1150,B850,Gamma, Beta,5.0,2182,1,12352
7,6,B950,T500,Gamma,Beta,4.0,2207,1,12352
8,6,B950,T1000,Gamma,Gamma,6.0,2225,1,12352
9,6,B950,A150,Gamma,Alpha,0.9999999999999998,2177,1,12352
10,6,B950,B650,Gamma,Beta,4.0,1668,1,12352
11,6,B950,C1050,Gamma,Gamma,6.0,2343,1,12352
12,6,B950,B550,Gamma,Beta,4.0,2173,1,12352
13,6,B950,C1250,Gamma,Gamma,5.0,2029,1,12352
14,6,B950,B850,Gamma, Beta,6.0,2899,1,12352
8,7,T500,T1000,Beta,Gamma,2.0,2131,1,12352
9,7,T500,A150,Beta,Alpha,2.0,2210,1,12352
10,7,T500,B650,Beta,Beta,5.0,2459,1,12352
11,7,T500,C1050,Beta,Gamma,2.0,2068,1,12352
12,7,T500,B550,Beta,Beta,6.0,4226,1,12352
13,7,T500,C1250,Beta,Gamma,2.0,4171,1,12352
14,7,T500,B850,Beta, Beta,4.0,1948,1,12352
9,8,T1000,A150,Gamma,Alpha,0.9999999999999998,2613,1,12352
10,8,T1000,B650,Gamma,Beta,4.0,1986,1,12352
11,8,T1000,C1050,Gamma,Gamma,6.0,3060,1,12352
12,8,T1000,B550,Gamma,Beta,2.0,2431,1,12352
13,8,T1000,C1250,Gamma,Gamma,5.0,2252,1,12352
14,8,T1000,B850,Gamma, Beta,6.0,2338,1,12352
10,9,A150,B650,Alpha,Beta,2.0,3051,1,12352
11,9,A150,C1050,Alpha,Gamma,0.9999999999999998,1682,1,12352
12,9,A150,B550,Alpha,Beta,0.9999999999999998,1603,1,12352
13,9,A150,C1250,Alpha,Gamma,0.9999999999999998,1139,1,12352
14,9,A150,B850,Alpha, Beta,0.9999999999999998,1643,1,12352
11,10,B650,C1050,Beta,Gamma,4.0,2714,1,12352
12,10,B650,B550,Beta,Beta,5.0,1637,1,12352
13,10,B650,C1250,Beta,Gamma,3.0,2067,1,12352
14,10,B650,B850,Beta, Beta,4.0,1427,1,12352
12,11,C1050,B550,Gamma,Beta,3.0,1587,1,12352
13,11,C1050,C1250,Gamma,Gamma,5.0,1907,1,12352
14,11,C1050,B850,Gamma, Beta,5.0,2367,1,12352
13,12,B550,C1250,Beta,Gamma,3.0,1698,1,12352
14,12,B550,B850,Beta, Beta,3.0,2434,1,12352
14,13,C1250,B850,Gamma, Beta,3.0,1443,1,12352
1,0,C1150,C1050,Gamma,Gamma,4.0,14164,1,12357
2,0,C1150,A450,Gamma,Alpha,2.0,6671,1,12357
3,0,C1150,A350,Gamma,Alpha,0.9999999999999998,2450,1,12357
4,0,C1150,B550,Gamma,Beta,2.0,3086,1,12357
5,0,C1150,A150,Gamma,Alpha,0.0,2374,1,12357
6,0,C1150,A50,Gamma,Alpha,0.0,1345,1,12357
7,0,C1150,C1250,Gamma,Gamma,5.0,5912,1,12357
8,0,C1150,B650,Gamma,Beta,3.0,6020,1,12357
9,0,C1150,T1000,Gamma,Gamma,5.0,3705,1,12357
10,0,C1150,T500,Gamma,Beta,3.0,3258,1,12357
11,0,C1150,B850,Gamma, Beta,4.0,3662,1,12357
12,0,C1150,B750,Gamma,Beta,4.0,1555,1,12357
13,0,C1150,A250,Gamma,Alpha,2.0,3107,1,12357
14,0,C1150,B950,Gamma,Gamma,5.0,4324,1,12357
2,1,C1050,A450,Gamma,Alpha,2.0,3174,1,12357
3,1,C1050,A350,Gamma,Alpha,0.9999999999999998,3669,1,12357
4,1,C1050,B550,Gamma,Beta,3.0,3177,1,12357
5,1,C1050,A150,Gamma,Alpha,0.0,2576,1,12357
6,1,C1050,A50,Gamma,Alpha,0.0,2041,1,12357
7,1,C1050,C1250,Gamma,Gamma,5.0,3093,1,12357
8,1,C1050,B650,Gamma,Beta,0.9999999999999998,2985,1,12357
9,1,C1050,T1000,Gamma,Gamma,6.0,3112,1,12357
10,1,C1050,T500,Gamma,Beta,3.0,4674,1,12357
11,1,C1050,B850,Gamma, Beta,5.0,3574,1,12357
12,1,C1050,B750,Gamma,Beta,5.0,2526,1,12357
13,1,C1050,A250,Gamma,Alpha,0.9999999999999998,3007,1,12357
14,1,C1050,B950,Gamma,Gamma,6.0,3357,1,12357
3,2,A450,A350,Alpha,Alpha,5.0,3414,1,12357
4,2,A450,B550,Alpha,Beta,5.0,2011,1,12357
5,2,A450,A150,Alpha,Alpha,3.0,4938,1,12357
6,2,A450,A50,Alpha,Alpha,2.0,2324,1,12357
7,2,A450,C1250,Alpha,Gamma,0.0,6267,1,12357
8,2,A450,B650,Alpha,Beta,4.0,3518,1,12357
9,2,A450,T1000,Alpha,Gamma,2.0,3578,1,12357
10,2,A450,T500,Alpha,Beta,5.0,2464,1,12357
11,2,A450,B850,Alpha, Beta,3.0,2070,1,12357
12,2,A450,B750,Alpha,Beta,3.0,2480,1,12357
13,2,A450,A250,Alpha,Alpha,3.0,1010,1,12357
14,2,A450,B950,Alpha,Gamma,2.0,5954,1,12357
4,3,A350,B550,Alpha,Beta,2.0,1948,1,12357
5,3,A350,A150,Alpha,Alpha,4.0,5317,1,12357
6,3,A350,A50,Alpha,Alpha,2.0,3760,1,12357
7,3,A350,C1250,Alpha,Gamma,0.0,2773,1,12357
8,3,A350,B650,Alpha,Beta,4.0,2923,1,12357
9,3,A350,T1000,Alpha,Gamma,0.9999999999999998,2819,1,12357
10,3,A350,T500,Alpha,Beta,4.0,5445,1,12357
11,3,A350,B850,Alpha, Beta,2.0,4124,1,12357
12,3,A350,B750,Alpha,Beta,2.0,803,1,12357
13,3,A350,A250,Alpha,Alpha,5.0,3257,1,12357
14,3,A350,B950,Alpha,Gamma,2.0,3835,1,12357
5,4,B550,A150,Beta,Alpha,2.0,1325,1,12357
6,4,B550,A50,Beta,Alpha,0.0,3893,1,12357
7,4,B550,C1250,Beta,Gamma,0.0,2006,1,12357
8,4,B550,B650,Beta,Beta,5.0,3741,1,12357
9,4,B550,T1000,Beta,Gamma,3.0,2664,1,12357
10,4,B550,T500,Beta,Beta,6.0,2851,1,12357
11,4,B550,B850,Beta, Beta,4.0,2485,1,12357
12,4,B550,B750,Beta,Beta,4.0,1472,1,12357
13,4,B550,A250,Beta,Alpha,3.0,2959,1,12357
14,4,B550,B950,Beta,Gamma,3.0,2235,1,12357
6,5,A150,A50,Alpha,Alpha,3.0,1266,1,12357
7,5,A150,C1250,Alpha,Gamma,0.0,4960,1,12357
8,5,A150,B650,Alpha,Beta,2.0,2869,1,12357
9,5,A150,T1000,Alpha,Gamma,0.9999999999999998,3138,1,12357
10,5,A150,T500,Alpha,Beta,3.0,2716,1,12357
11,5,A150,B850,Alpha, Beta,0.9999999999999998,2389,1,12357
12,5,A150,B750,Alpha,Beta,0.9999999999999998,1173,1,12357
13,5,A150,A250,Alpha,Alpha,4.0,3806,1,12357
14,5,A150,B950,Alpha,Gamma,0.9999999999999998,4403,1,12357
7,6,A50,C1250,Alpha,Gamma,0.0,2414,1,12357
8,6,A50,B650,Alpha,Beta,0.9999999999999998,3301,1,12357
9,6,A50,T1000,Alpha,Gamma,0.0,2213,1,12357
10,6,A50,T500,Alpha,Beta,0.9999999999999998,3919,1,12357
11,6,A50,B850,Alpha, Beta,0.0,3809,1,12357
12,6,A50,B750,Alpha,Beta,0.0,1204,1,12357
13,6,A50,A250,Alpha,Alpha,3.0,5173,1,12357
14,6,A50,B950,Alpha,Gamma,0.9999999999999998,4973,1,12357
8,7,C1250,B650,Gamma,Beta,4.0,6291,1,12357
9,7,C1250,T1000,Gamma,Gamma,5.0,2709,1,12357
10,7,C1250,T500,Gamma,Beta,2.0,3080,1,12357
11,7,C1250,B850,Gamma, Beta,4.0,5324,1,12357
12,7,C1250,B750,Gamma,Beta,4.0,1581,1,12357
13,7,C1250,A250,Gamma,Alpha,2.0,5861,1,12357
14,7,C1250,B950,Gamma,Gamma,5.0,4594,1,12357
9,8,B650,T1000,Beta,Gamma,4.0,4341,1,12357
10,8,B650,T500,Beta,Beta,5.0,3805,1,12357
11,8,B650,B850,Beta, Beta,5.0,1165,1,12357
12,8,B650,B750,Beta,Beta,5.0,1909,1,12357
13,8,B650,A250,Beta,Alpha,3.0,3604,1,12357
14,8,B650,B950,Beta,Gamma,4.0,2917,1,12357
10,9,T1000,T500,Gamma,Beta,2.0,2798,1,12357
11,9,T1000,B850,Gamma, Beta,5.0,2634,1,12357
12,9,T1000,B750,Gamma,Beta,4.0,2585,1,12357
13,9,T1000,A250,Gamma,Alpha,2.0,2984,1,12357
14,9,T1000,B950,Gamma,Gamma,6.0,2537,1,12357
11,10,T500,B850,Beta, Beta,3.0,3916,1,12357
12,10,T500,B750,Beta,Beta,4.0,4627,1,12357
13,10,T500,A250,Beta,Alpha,3.0,2860,1,12357
14,10,T500,B950,Beta,Gamma,2.0,5078,1,12357
12,11,B850,B750, Beta,Beta,6.0,2307,1,12357
13,11,B850,A250, Beta,Alpha,2.0,3635,1,12357
14,11,B850,B950, Beta,Gamma,6.0,2451,1,12357
13,12,B750,A250,Beta,Alpha,2.0,5099,1,12357
14,12,B750,B950,Beta,Gamma,6.0,2722,1,12357
14,13,A250,B950,Alpha,Gamma,0.9999999999999998,4861,1,12357
1,0,B850,A50,Alpha,Alpha,0.0,11837,1,12358
2,0,B850,A250, Beta,Alpha,3.0,8649,1,12358
3,0,B850,C1150, Beta,Gamma,5.0,3948,1,12358
4,0,B850,B550, Beta,Beta,5.0,1926,1,12358
5,0,B850,T500, Beta,Beta,4.0,6830,1,12358
6,0,B850,C1250, Beta,Gamma,4.0,11683,1,12358
7,0,B850,T1000, Beta,Gamma,5.0,2869,1,12358
8,0,B850,B650, Beta,Beta,5.0,6711,1,12358
9,0,B850,A450, Beta,Alpha,3.0,7457,1,12358
10,0,B850,A150, Beta,Alpha,0.9999999999999998,4539,1,12358
11,0,B850,A350, Beta,Alpha,2.0,2597,1,12358
12,0,B850,B750, Beta,Beta,5.0,2723,1,12358
13,0,B850,C1050, Beta,Gamma,5.0,11147,1,12358
14,0,B850,B950, Beta,Gamma,5.0,1642,1,12358
2,1,A50,A250,Alpha,Alpha,0.9999999999999998,11962,1,12358
3,1,A50,C1150,Alpha,Gamma,0.0,2424,1,12358
4,1,A50,B550,Alpha,Beta,0.9999999999999998,2483,1,12358
5,1,A50,T500,Alpha,Beta,0.9999999999999998,1235,1,12358
6,1,A50,C1250,Alpha,Gamma,0.0,1948,1,12358
7,1,A50,T1000,Alpha,Gamma,0.0,1897,1,12358
8,1,A50,B650,Alpha,Beta,0.9999999999999998,3692,1,12358
9,1,A50,A450,Alpha,Alpha,0.9999999999999998,2957,1,12358
10,1,A50,A150,Alpha,Alpha,3.0,6908,1,12358
11,1,A50,A350,Alpha,Alpha,0.0,5027,1,12358
12,1,A50,B750,Alpha,Beta,0.0,1467,1,12358
13,1,A50,C1050,Alpha,Gamma,0.0,1723,1,12358
14,1,A50,B950,Alpha,Gamma,0.0,2603,1,12358
3,2,A250,C1150,Alpha,Gamma,0.9999999999999998,6115,1,12358
4,2,A250,B550,Alpha,Beta,2.0,19866,1,12358
5,2,A250,T500,Alpha,Beta,3.0,2290,1,12358
6,2,A250,C1250,Alpha,Gamma,0.9999999999999998,3235,1,12358
7,2,A250,T1000,Alpha,Gamma,2.0,4675,1,12358
8,2,A250,B650,Alpha,Beta,3.0,2546,1,12358
9,2,A250,A450,Alpha,Alpha,4.0,4138,1,12358
10,2,A250,A150,Alpha,Alpha,4.0,2656,1,12358
11,2,A250,A350,Alpha,Alpha,4.0,5066,1,12358
12,2,A250,B750,Alpha,Beta,2.0,4282,1,12358
13,2,A250,C1050,Alpha,Gamma,2.0,4796,1,12358
14,2,A250,B950,Alpha,Gamma,2.0,1814,1,12358
4,3,C1150,B550,Gamma,Beta,3.0,7801,1,12358
5,3,C1150,T500,Gamma,Beta,3.0,3795,1,12358
6,3,C1150,C1250,Gamma,Gamma,5.0,3330,1,12358
7,3,C1150,T1000,Gamma,Gamma,5.0,7173,1,12358
8,3,C1150,B650,Gamma,Beta,4.0,5363,1,12358
9,3,C1150,A450,Gamma,Alpha,3.0,2635,1,12358
10,3,C1150,A150,Gamma,Alpha,0.9999999999999998,6883,1,12358
11,3,C1150,A350,Gamma,Alpha,0.9999999999999998,1722,1,12358
12,3,C1150,B750,Gamma,Beta,3.0,8355,1,12358
13,3,C1150,C1050,Gamma,Gamma,5.0,3164,1,12358
14,3,C1150,B950,Gamma,Gamma,5.0,1786,1,12358
5,4,B550,T500,Beta,Beta,5.0,2124,1,12358
6,4,B550,C1250,Beta,Gamma,3.0,3027,1,12358
7,4,B550,T1000,Beta,Gamma,4.0,4123,1,12358
8,4,B550,B650,Beta,Beta,5.0,2484,1,12358
9,4,B550,A450,Beta,Alpha,5.0,1363,1,12358
10,4,B550,A150,Beta,Alpha,0.9999999999999998,4013,1,12358
11,4,B550,A350,Beta,Alpha,4.0,3977,1,12358
12,4,B550,B750,Beta,Beta,4.0,12603,1,12358
13,4,B550,C1050,Beta,Gamma,4.0,5019,1,12358
14,4,B550,B950,Beta,Gamma,4.0,2313,1,12358
6,5,T500,C1250,Beta,Gamma,3.0,2474,1,12358
7,5,T500,T1000,Beta,Gamma,3.0,1314,1,12358
8,5,T500,B650,Beta,Beta,5.0,3668,1,12358
9,5,T500,A450,Beta,Alpha,5.0,1163,1,12358
10,5,T500,A150,Beta,Alpha,3.0,4672,1,12358
11,5,T500,A350,Beta,Alpha,4.0,1922,1,12358
12,5,T500,B750,Beta,Beta,4.0,2263,1,12358
13,5,T500,C1050,Beta,Gamma,3.0,5187,1,12358
14,5,T500,B950,Beta,Gamma,3.0,1011,1,12358
7,6,C1250,T1000,Gamma,Gamma,4.0,3723,1,12358
8,6,C1250,B650,Gamma,Beta,3.0,2291,1,12358
9,6,C1250,A450,Gamma,Alpha,3.0,1156,1,12358
10,6,C1250,A150,Gamma,Alpha,0.9999999999999998,3010,1,12358
11,6,C1250,A350,Gamma,Alpha,2.0,3063,1,12358
12,6,C1250,B750,Gamma,Beta,4.0,4779,1,12358
13,6,C1250,C1050,Gamma,Gamma,5.0,2209,1,12358
14,6,C1250,B950,Gamma,Gamma,5.0,1703,1,12358
8,7,T1000,B650,Gamma,Beta,5.0,4569,1,12358
9,7,T1000,A450,Gamma,Alpha,4.0,1986,1,12358
10,7,T1000,A150,Gamma,Alpha,0.9999999999999998,3850,1,12358
11,7,T1000,A350,Gamma,Alpha,2.0,4423,1,12358
12,7,T1000,B750,Gamma,Beta,5.0,8339,1,12358
13,7,T1000,C1050,Gamma,Gamma,6.0,3771,1,12358
14,7,T1000,B950,Gamma,Gamma,6.0,2243,1,12358
9,8,B650,A450,Beta,Alpha,4.0,4194,1,12358
10,8,B650,A150,Beta,Alpha,0.9999999999999998,2795,1,12358
11,8,B650,A350,Beta,Alpha,2.0,2284,1,12358
12,8,B650,B750,Beta,Beta,5.0,2458,1,12358
13,8,B650,C1050,Beta,Gamma,4.0,9750,1,12358
14,8,B650,B950,Beta,Gamma,4.0,974,1,12358
10,9,A450,A150,Alpha,Alpha,3.0,4339,1,12358
11,9,A450,A350,Alpha,Alpha,3.0,1611,1,12358
12,9,A450,B750,Alpha,Beta,3.0,5955,1,12358
13,9,A450,C1050,Alpha,Gamma,3.0,2371,1,12358
14,9,A450,B950,Alpha,Gamma,3.0,4161,1,12358
11,10,A150,A350,Alpha,Alpha,3.0,1923,1,12358
12,10,A150,B750,Alpha,Beta,0.9999999999999998,2348,1,12358
13,10,A150,C1050,Alpha,Gamma,0.9999999999999998,2923,1,12358
14,10,A150,B950,Alpha,Gamma,0.9999999999999998,1299,1,12358
12,11,A350,B750,Alpha,Beta,3.0,5421,1,12358
13,11,A350,C1050,Alpha,Gamma,2.0,2866,1,12358
14,11,A350,B950,Alpha,Gamma,2.0,1839,1,12358
13,12,B750,C1050,Beta,Gamma,4.0,5026,1,12358
14,12,B750,B950,Beta,Gamma,4.0,1031,1,12358
14,13,C1050,B950,Gamma,Gamma,5.0,2537,1,12358
1,0,T500,A50,Alpha,Alpha,3.0,21771,1,12359
2,0,T500,B650,Beta,Beta,5.0,7928,1,12359
3,0,T500,A450,Beta,Alpha,5.0,3825,1,12359
4,0,T500,T1000,Beta,Gamma,3.0,6967,1,12359
5,0,T500,B950,Beta,Gamma,2.0,4736,1,12359
6,0,T500,C1050,Beta,Gamma,2.0,1765,1,12359
7,0,T500,A250,Beta,Alpha,2.0,5061,1,12359
8,0,T500,A150,Beta,Alpha,0.9999999999999998,4682,1,12359
9,0,T500,B850,Beta, Beta,4.0,10049,1,12359
10,0,T500,C1150,Beta,Gamma,3.0,6621,1,12359
11,0,T500,C1250,Beta,Gamma,2.0,7930,1,12359
12,0,T500,B550,Beta,Beta,5.0,3242,1,12359
13,0,T500,B750,Beta,Beta,4.0,5130,1,12359
14,0,T500,A350,Beta,Alpha,5.0,4498,1,12359
2,1,A50,B650,Alpha,Beta,0.0,4315,1,12359
3,1,A50,A450,Alpha,Alpha,0.9999999999999998,6498,1,12359
4,1,A50,T1000,Alpha,Gamma,0.0,3066,1,12359
5,1,A50,B950,Alpha,Gamma,0.0,1148,1,12359
6,1,A50,C1050,Alpha,Gamma,0.0,946,1,12359
7,1,A50,A250,Alpha,Alpha,3.0,9703,1,12359
8,1,A50,A150,Alpha,Alpha,2.0,3063,1,12359
9,1,A50,B850,Alpha, Beta,0.0,3556,1,12359
10,1,A50,C1150,Alpha,Gamma,0.0,1499,1,12359
11,1,A50,C1250,Alpha,Gamma,0.0,886,1,12359
12,1,A50,B550,Alpha,Beta,0.9999999999999998,6105,1,12359
13,1,A50,B750,Alpha,Beta,0.0,3051,1,12359
14,1,A50,A350,Alpha,Alpha,2.0,5640,1,12359
3,2,B650,A450,Beta,Alpha,4.0,5970,1,12359
4,2,B650,T1000,Beta,Gamma,4.0,4428,1,12359
5,2,B650,B950,Beta,Gamma,4.0,1506,1,12359
6,2,B650,C1050,Beta,Gamma,4.0,1318,1,12359
7,2,B650,A250,Beta,Alpha,3.0,10996,1,12359
8,2,B650,A150,Beta,Alpha,2.0,3393,1,12359
9,2,B650,B850,Beta, Beta,5.0,3356,1,12359
10,2,B650,C1150,Beta,Gamma,4.0,3282,1,12359
11,2,B650,C1250,Beta,Gamma,4.0,1706,1,12359
12,2,B650,B550,Beta,Beta,5.0,2690,1,12359
13,2,B650,B750,Beta,Beta,5.0,1313,1,12359
14,2,B650,A350,Beta,Alpha,4.0,4137,1,12359
4,3,A450,T1000,Alpha,Gamma,2.0,3690,1,12359
5,3,A450,B950,Alpha,Gamma,2.0,931,1,12359
6,3,A450,C1050,Alpha,Gamma,2.0,619,1,12359
7,3,A450,A250,Alpha,Alpha,4.0,2505,1,12359
8,3,A450,A150,Alpha,Alpha,3.0,3377,1,12359
9,3,A450,B850,Alpha, Beta,3.0,1899,1,12359
10,3,A450,C1150,Alpha,Gamma,3.0,2604,1,12359
11,3,A450,C1250,Alpha,Gamma,3.0,725,1,12359
12,3,A450,B550,Alpha,Beta,5.0,3265,1,12359
13,3,A450,B750,Alpha,Beta,4.0,3661,1,12359
14,3,A450,A350,Alpha,Alpha,5.0,2257,1,12359
5,4,T1000,B950,Gamma,Gamma,5.0,2714,1,12359
6,4,T1000,C1050,Gamma,Gamma,6.0,3259,1,12359
7,4,T1000,A250,Gamma,Alpha,0.9999999999999998,4681,1,12359
8,4,T1000,A150,Gamma,Alpha,0.9999999999999998,1238,1,12359
9,4,T1000,B850,Gamma, Beta,5.0,3072,1,12359
10,4,T1000,C1150,Gamma,Gamma,5.0,2394,1,12359
11,4,T1000,C1250,Gamma,Gamma,5.0,760,1,12359
12,4,T1000,B550,Gamma,Beta,4.0,2574,1,12359
13,4,T1000,B750,Gamma,Beta,4.0,945,1,12359
14,4,T1000,A350,Gamma,Alpha,2.0,2707,1,12359
6,5,B950,C1050,Gamma,Gamma,5.0,2530,1,12359
7,5,B950,A250,Gamma,Alpha,0.9999999999999998,3506,1,12359
8,5,B950,A150,Gamma,Alpha,0.9999999999999998,1547,1,12359
9,5,B950,B850,Gamma, Beta,5.0,2931,1,12359
10,5,B950,C1150,Gamma,Gamma,5.0,1626,1,12359
11,5,B950,C1250,Gamma,Gamma,5.0,691,1,12359
12,5,B950,B550,Gamma,Beta,4.0,2602,1,12359
13,5,B950,B750,Gamma,Beta,4.0,658,1,12359
14,5,B950,A350,Gamma,Alpha,3.0,3627,1,12359
7,6,C1050,A250,Gamma,Alpha,3.0,826,1,12359
8,6,C1050,A150,Gamma,Alpha,0.0,6083,1,12359
9,6,C1050,B850,Gamma, Beta,5.0,3292,1,12359
10,6,C1050,C1150,Gamma,Gamma,6.0,4395,1,12359
11,6,C1050,C1250,Gamma,Gamma,6.0,1290,1,12359
12,6,C1050,B550,Gamma,Beta,4.0,3372,1,12359
13,6,C1050,B750,Gamma,Beta,4.0,690,1,12359
14,6,C1050,A350,Gamma,Alpha,3.0,4101,1,12359
8,7,A250,A150,Alpha,Alpha,5.0,2963,1,12359
9,7,A250,B850,Alpha, Beta,2.0,4122,1,12359
10,7,A250,C1150,Alpha,Gamma,2.0,1387,1,12359
11,7,A250,C1250,Alpha,Gamma,2.0,772,1,12359
12,7,A250,B550,Alpha,Beta,4.0,6211,1,12359
13,7,A250,B750,Alpha,Beta,4.0,1307,1,12359
14,7,A250,A350,Alpha,Alpha,4.0,2659,1,12359
9,8,A150,B850,Alpha, Beta,0.9999999999999998,3375,1,12359
10,8,A150,C1150,Alpha,Gamma,0.9999999999999998,1004,1,12359
11,8,A150,C1250,Alpha,Gamma,0.9999999999999998,561,1,12359
12,8,A150,B550,Alpha,Beta,2.0,3683,1,12359
13,8,A150,B750,Alpha,Beta,0.9999999999999998,5239,1,12359
14,8,A150,A350,Alpha,Alpha,3.0,3883,1,12359
10,9,B850,C1150, Beta,Gamma,4.0,2187,1,12359
11,9,B850,C1250, Beta,Gamma,4.0,938,1,12359
12,9,B850,B550, Beta,Beta,4.0,1416,1,12359
13,9,B850,B750, Beta,Beta,4.0,1093,1,12359
14,9,B850,A350, Beta,Alpha,2.0,4915,1,12359
11,10,C1150,C1250,Gamma,Gamma,6.0,3579,1,12359
12,10,C1150,B550,Gamma,Beta,4.0,4562,1,12359
13,10,C1150,B750,Gamma,Beta,4.0,1611,1,12359
14,10,C1150,A350,Gamma,Alpha,0.9999999999999998,3004,1,12359
12,11,C1250,B550,Gamma,Beta,2.0,2443,1,12359
13,11,C1250,B750,Gamma,Beta,2.0,1266,1,12359
14,11,C1250,A350,Gamma,Alpha,2.0,3171,1,12359
13,12,B550,B750,Beta,Beta,5.0,4614,1,12359
14,12,B550,A350,Beta,Alpha,4.0,6074,1,12359
14,13,B750,A350,Beta,Alpha,3.0,4316,1,12359
1,0,C1150,B750,Beta,Beta,3.0,9857,1,12360
2,0,C1150,B650,Gamma,Beta,2.0,16552,1,12360
3,0,C1150,T500,Gamma,Beta,0.9999999999999998,3938,1,12360
4,0,C1150,B950,Gamma,Gamma,5.0,4803,1,12360
5,0,C1150,A50,Gamma,Alpha,0.0,2876,1,12360
6,0,C1150,T1000,Gamma,Gamma,5.0,4417,1,12360
7,0,C1150,B550,Gamma,Beta,3.0,3808,1,12360
8,0,C1150,B850,Gamma, Beta,4.0,2227,1,12360
