stimId1,stimID2,count,mean,std,min,25%,50%,75%,max
A150,A250,18.0,4.777777777777778,0.9428090415820634,3.0,4.0,5.0,5.0,6.0
A150,A350,18.0,3.388888888888889,1.5392469086379983,0.9999999999999998,2.0,3.0,5.0,6.0
A150,A450,16.0,2.25,0.9309493362512627,0.0,2.0,2.0,3.0,4.0
A150,A50,14.0,4.428571428571429,1.5045717874984443,0.0,4.0,5.0,5.0,6.0
A150,B550,20.0,2.3,1.3018205875255098,0.0,2.0,2.0,3.0,6.0
A150,B650,17.0,1.6470588235294117,1.1147408034263075,0.0,0.9999999999999998,2.0,3.0,3.0
A150,B750,18.0,1.3888888888888888,0.9164438231805329,0.0,0.9999999999999998,0.9999999999999998,2.0,3.0
A150,B850,19.0,1.2105263157894737,0.976328005472037,0.0,0.4999999999999999,0.9999999999999998,2.0,3.0
A150,B950,12.0,1.0833333333333333,1.164500152881315,0.0,0.0,0.9999999999999998,1.2499999999999998,4.0
A150,C1050,19.0,0.6842105263157895,0.6710382982072027,0.0,0.0,0.9999999999999998,0.9999999999999998,2.0
A150,C1150,18.0,0.6111111111111112,0.6978023391872252,0.0,0.0,0.4999999999999999,0.9999999999999998,2.0
A150,C1250,19.0,0.5789473684210524,0.5072572735017881,0.0,0.0,0.9999999999999998,0.9999999999999998,0.9999999999999998
A150,C1350,19.0,0.5789473684210525,0.6924826089821244,0.0,0.0,0.0,0.9999999999999998,2.0
A150,C1450,15.0,0.3333333333333333,0.6172133998483675,0.0,0.0,0.0,0.4999999999999999,2.0
A250,A150,13.0,4.846153846153846,1.281025230440697,2.0,4.0,5.0,6.0,6.0
A250,A350,13.0,4.769230769230769,1.1657505560686467,3.0,4.0,5.0,6.0,6.0
A250,A450,17.0,4.0,1.3228756555322954,0.0,4.0,4.0,5.0,6.0
A250,A50,17.0,2.7058823529411766,1.7594283831102981,0.0,2.0,2.0,4.0,6.0
A250,B550,18.0,2.7222222222222223,1.0740552924509195,0.0,2.0,3.0,3.0,4.0
A250,B650,19.0,2.210526315789474,0.976328005472037,0.0,2.0,2.0,3.0,4.0
A250,B750,15.0,2.0,0.8451542547285166,0.0,2.0,2.0,2.5,3.0
A250,B850,16.0,1.625,0.8850612031567836,0.0,0.9999999999999998,2.0,2.0,3.0
A250,B950,16.0,0.875,0.8850612031567836,0.0,0.0,0.9999999999999998,0.9999999999999998,3.0
A250,C1050,18.0,1.0,0.8401680504168059,0.0,0.0,0.9999999999999998,2.0,2.0
A250,C1150,16.0,0.5624999999999999,0.6291528696058957,0.0,0.0,0.4999999999999999,0.9999999999999998,2.0
A250,C1250,15.0,0.8,0.7745966692414833,0.0,0.0,0.9999999999999998,0.9999999999999998,2.0
A250,C1350,17.0,0.41176470588235287,0.6183469424008422,0.0,0.0,0.0,0.9999999999999998,2.0
A250,C1450,17.0,0.35294117647058815,0.49259218307188896,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998
A350,A150,13.0,3.6153846153846154,1.12089707663561,2.0,3.0,4.0,4.0,5.0
A350,A250,18.0,5.0,0.8401680504168059,3.0,5.0,5.0,5.75,6.0
A350,A450,14.0,4.928571428571429,1.0716117059605352,2.0,5.0,5.0,5.75,6.0
A350,A50,15.0,1.6,1.4040757000349275,0.0,0.4999999999999999,0.9999999999999998,2.5,4.0
A350,B550,16.0,4.0625,1.1236102527122116,2.0,3.75,4.0,5.0,6.0
A350,B650,18.0,3.611111111111111,1.2432826042324119,0.9999999999999998,3.0,4.0,4.0,6.0
A350,B750,18.0,2.5555555555555554,1.247219128924647,0.0,2.0,3.0,3.0,5.0
A350,B850,16.0,2.6875,1.1954775893619531,0.9999999999999998,2.0,3.0,3.25,5.0
A350,B950,11.0,2.090909090909091,1.4459976109624424,0.0,0.9999999999999998,2.0,2.5,5.0
A350,C1050,17.0,1.1764705882352942,0.8089572082044157,0.0,0.9999999999999998,0.9999999999999998,2.0,3.0
A350,C1150,15.0,1.4666666666666666,0.9154754164341269,0.0,0.9999999999999998,0.9999999999999998,2.0,3.0
A350,C1250,16.0,1.1875,0.6551081335677849,0.0,0.9999999999999998,0.9999999999999998,2.0,2.0
A350,C1350,19.0,0.7894736842105263,0.787326514818136,0.0,0.0,0.9999999999999998,0.9999999999999998,2.0
A350,C1450,16.0,0.625,0.7187952884282609,0.0,0.0,0.4999999999999999,0.9999999999999998,2.0
A450,A150,15.0,3.0,1.1952286093343936,0.9999999999999998,2.0,3.0,3.5,6.0
A450,A250,14.0,3.7857142857142856,1.3688047244316386,0.9999999999999998,3.0,4.0,5.0,6.0
A450,A350,17.0,5.117647058823529,1.0537049480984033,3.0,5.0,5.0,6.0,6.0
A450,A50,15.0,1.1333333333333333,1.3557637102737472,0.0,0.0,0.9999999999999998,2.0,5.0
A450,B550,19.0,5.2105263157894735,0.7132825035177586,4.0,5.0,5.0,6.0,6.0
A450,B650,15.0,4.733333333333333,0.9611501047232548,2.0,4.5,5.0,5.0,6.0
A450,B750,12.0,3.75,1.6025547785276542,0.0,3.0,4.5,5.0,5.0
A450,B850,15.0,3.466666666666667,1.1254628677422756,0.9999999999999998,3.0,4.0,4.0,5.0
A450,B950,13.0,3.076923076923077,1.0377490433255416,0.9999999999999998,3.0,3.0,4.0,5.0
A450,C1050,20.0,2.45,1.3562719801759993,0.0,2.0,3.0,3.0,5.0
A450,C1150,12.0,2.4166666666666665,0.90033663737852,0.0,2.0,3.0,3.0,3.0
A450,C1250,13.0,2.1538461538461537,1.0681880176381129,0.0,2.0,2.0,3.0,4.0
