trial,block,stimId,category,response,rt,condition,id,phase
0,0,B850,Beta,5.0,8426,3,12141,typicality2
1,0,A150,Alpha,0.9999999999999998,3279,3,12141,typicality2
2,0,A50,Alpha,6.0,4724,3,12141,typicality2
3,0,C1450,Gamma,6.0,1362,3,12141,typicality2
4,0,B650,Beta,3.0,4612,3,12141,typicality2
5,0,B950, Beta,0.9999999999999998,4226,3,12141,typicality2
6,0,A250,Alpha,6.0,2607,3,12141,typicality2
7,0,B750,Beta,4.0,2540,3,12141,typicality2
8,0,A350,Alpha,5.0,2816,3,12141,typicality2
9,0,C1050,Gamma,6.0,2508,3,12141,typicality2
10,0,C1350,Gamma,6.0,1156,3,12141,typicality2
11,0,C1150,Gamma,6.0,1347,3,12141,typicality2
12,0,C1250,Gamma,6.0,1012,3,12141,typicality2
13,0,B550,Beta,4.0,3396,3,12141,typicality2
14,0,A450,Alpha,2.0,3012,3,12141,typicality2
0,0,C1350,Gamma,6.0,8058,3,12144,typicality2
1,0,B550,Beta,3.0,6912,3,12144,typicality2
2,0,A450,Alpha,3.0,2779,3,12144,typicality2
3,0,C1050,Gamma,5.0,6067,3,12144,typicality2
4,0,C1150,Gamma,6.0,2822,3,12144,typicality2
5,0,A50,Alpha,6.0,2308,3,12144,typicality2
6,0,B950, Beta,0.9999999999999998,4383,3,12144,typicality2
7,0,A350,Alpha,0.9999999999999998,4149,3,12144,typicality2
8,0,A150,Alpha,6.0,5540,3,12144,typicality2
9,0,B750,Beta,3.0,6372,3,12144,typicality2
10,0,C1450,Gamma,6.0,2556,3,12144,typicality2
11,0,A250,Alpha,0.0,2682,3,12144,typicality2
12,0,C1250,Gamma,6.0,2827,3,12144,typicality2
13,0,B850,Beta,2.0,3940,3,12144,typicality2
14,0,B650,Beta,2.0,4621,3,12144,typicality2
0,0,B750,Beta,5.0,18084,3,12161,typicality2
1,0,A350,Alpha,0.9999999999999998,9963,3,12161,typicality2
2,0,C1150,Gamma,6.0,7634,3,12161,typicality2
3,0,A250,Alpha,6.0,9682,3,12161,typicality2
4,0,A50,Alpha,6.0,3211,3,12161,typicality2
5,0,C1450,Gamma,6.0,3268,3,12161,typicality2
6,0,B550,Beta,6.0,6137,3,12161,typicality2
7,0,C1350,Gamma,6.0,4001,3,12161,typicality2
8,0,B650,Beta,6.0,5254,3,12161,typicality2
9,0,A150,Alpha,6.0,3289,3,12161,typicality2
10,0,A450,Alpha,0.9999999999999998,11431,3,12161,typicality2
11,0,C1250,Gamma,6.0,4276,3,12161,typicality2
12,0,C1050,Gamma,5.0,4706,3,12161,typicality2
13,0,B950, Beta,5.0,6277,3,12161,typicality2
14,0,B850,Beta,5.0,2980,3,12161,typicality2
0,0,B550,Beta,5.0,16185,3,12183,typicality2
1,0,C1450,Gamma,6.0,4597,3,12183,typicality2
2,0,A150,Alpha,6.0,3201,3,12183,typicality2
3,0,A50,Alpha,6.0,1267,3,12183,typicality2
4,0,A350,Alpha,2.0,3180,3,12183,typicality2
5,0,A450,Alpha,0.9999999999999998,4794,3,12183,typicality2
6,0,A250,Alpha,6.0,3295,3,12183,typicality2
7,0,B750,Beta,4.0,5118,3,12183,typicality2
8,0,B850,Beta,3.0,3819,3,12183,typicality2
9,0,B650,Beta,3.0,1274,3,12183,typicality2
10,0,C1350,Gamma,6.0,2527,3,12183,typicality2
11,0,C1250,Gamma,6.0,772,3,12183,typicality2
12,0,C1050,Gamma,6.0,494,3,12183,typicality2
13,0,C1150,Gamma,6.0,680,3,12183,typicality2
14,0,B950, Beta,6.0,522,3,12183,typicality2
0,0,A150,Alpha,6.0,15571,3,12186,typicality2
1,0,B550,Beta,6.0,9230,3,12186,typicality2
2,0,C1250,Gamma,6.0,2172,3,12186,typicality2
3,0,C1450,Gamma,6.0,1803,3,12186,typicality2
