trial,block,stimId,category,response,rt,condition,id,phase
0,0,A350,Alpha,4.0,1916,2,12143,typicality2
1,0,B950, Beta,2.0,2171,2,12143,typicality2
2,0,C1350,Gamma,0.9999999999999998,1531,2,12143,typicality2
3,0,C1150,Gamma,0.9999999999999998,317,2,12143,typicality2
4,0,B650,Beta,0.9999999999999998,308,2,12143,typicality2
5,0,B750,Beta,3.0,1190,2,12143,typicality2
6,0,A250,Alpha,4.0,772,2,12143,typicality2
7,0,A50,Alpha,4.0,180,2,12143,typicality2
8,0,C1050,Gamma,4.0,120,2,12143,typicality2
9,0,C1450,Gamma,4.0,131,2,12143,typicality2
10,0,C1250,Gamma,4.0,107,2,12143,typicality2
11,0,B550,Beta,3.0,859,2,12143,typicality2
12,0,B850,Beta,3.0,342,2,12143,typicality2
13,0,A150,Alpha,2.0,844,2,12143,typicality2
14,0,A450,Alpha,3.0,764,2,12143,typicality2
0,0,B550,Beta,6.0,4904,2,12160,typicality2
1,0,A50,Alpha,6.0,4048,2,12160,typicality2
2,0,B650,Beta,5.0,6913,2,12160,typicality2
3,0,A450,Alpha,5.0,3730,2,12160,typicality2
4,0,C1050,Gamma,6.0,1964,2,12160,typicality2
5,0,C1450,Gamma,6.0,1451,2,12160,typicality2
6,0,B750,Beta,5.0,3693,2,12160,typicality2
7,0,C1250,Gamma,6.0,2521,2,12160,typicality2
8,0,A350,Alpha,6.0,1876,2,12160,typicality2
9,0,B850,Beta,5.0,4129,2,12160,typicality2
10,0,B950, Beta,5.0,1596,2,12160,typicality2
11,0,A150,Alpha,6.0,2906,2,12160,typicality2
12,0,A250,Alpha,6.0,1190,2,12160,typicality2
13,0,C1350,Gamma,6.0,1244,2,12160,typicality2
14,0,C1150,Gamma,6.0,964,2,12160,typicality2
0,0,C1350,Gamma,6.0,6886,2,12163,typicality2
1,0,B550,Beta,0.9999999999999998,6274,2,12163,typicality2
2,0,C1150,Gamma,6.0,3656,2,12163,typicality2
3,0,C1450,Gamma,6.0,1106,2,12163,typicality2
4,0,A250,Alpha,6.0,4403,2,12163,typicality2
5,0,C1050,Gamma,3.0,6732,2,12163,typicality2
6,0,B750,Beta,0.0,4340,2,12163,typicality2
7,0,A450,Alpha,0.0,2356,2,12163,typicality2
8,0,A50,Alpha,6.0,2779,2,12163,typicality2
9,0,A350,Alpha,6.0,1451,2,12163,typicality2
10,0,A150,Alpha,6.0,1203,2,12163,typicality2
11,0,B850,Beta,6.0,2092,2,12163,typicality2
12,0,B650,Beta,6.0,1498,2,12163,typicality2
13,0,B950, Beta,2.0,2371,2,12163,typicality2
14,0,C1250,Gamma,3.0,2948,2,12163,typicality2
0,0,B750,Beta,2.0,13177,2,12185,typicality2
1,0,A150,Alpha,6.0,3181,2,12185,typicality2
2,0,A450,Alpha,4.0,3391,2,12185,typicality2
3,0,C1050,Gamma,6.0,2163,2,12185,typicality2
4,0,B650,Beta,2.0,2778,2,12185,typicality2
5,0,C1450,Gamma,6.0,2204,2,12185,typicality2
6,0,B950, Beta,3.0,3827,2,12185,typicality2
7,0,A50,Alpha,6.0,2078,2,12185,typicality2
8,0,B550,Beta,5.0,3513,2,12185,typicality2
9,0,A350,Alpha,3.0,3554,2,12185,typicality2
10,0,A250,Alpha,6.0,1772,2,12185,typicality2
11,0,B850,Beta,4.0,3389,2,12185,typicality2
12,0,C1350,Gamma,6.0,2133,2,12185,typicality2
13,0,C1150,Gamma,6.0,1329,2,12185,typicality2
14,0,C1250,Gamma,6.0,700,2,12185,typicality2
0,0,B650,Beta,6.0,10388,2,12188,typicality2
1,0,B750,Beta,6.0,4495,2,12188,typicality2
2,0,C1250,Gamma,6.0,11601,2,12188,typicality2
3,0,A350,Alpha,6.0,3673,2,12188,typicality2
4,0,C1350,Gamma,6.0,1792,2,12188,typicality2
5,0,A250,Alpha,6.0,2583,2,12188,typicality2
6,0,C1150,Gamma,5.0,5911,2,12188,typicality2
7,0,B950, Beta,5.0,5784,2,12188,typicality2
8,0,C1050,Gamma,5.0,3456,2,12188,typicality2
9,0,A50,Alpha,6.0,2964,2,12188,typicality2
10,0,C1450,Gamma,6.0,1731,2,12188,typicality2
11,0,A450,Alpha,5.0,7084,2,12188,typicality2
12,0,B850,Beta,6.0,3470,2,12188,typicality2
13,0,B550,Beta,6.0,2979,2,12188,typicality2
14,0,A150,Alpha,6.0,2149,2,12188,typicality2
0,0,C1250,Gamma,5.0,8820,2,12191,typicality2
1,0,B550,Beta,2.0,3819,2,12191,typicality2
2,0,B650,Beta,3.0,3140,2,12191,typicality2
3,0,B850,Beta,0.9999999999999998,3019,2,12191,typicality2
4,0,C1450,Gamma,6.0,2706,2,12191,typicality2
5,0,B750,Beta,2.0,3317,2,12191,typicality2
6,0,C1150,Gamma,5.0,2539,2,12191,typicality2
7,0,B950, Beta,4.0,4753,2,12191,typicality2
8,0,A150,Alpha,0.9999999999999998,2410,2,12191,typicality2
9,0,A50,Alpha,0.0,1955,2,12191,typicality2
10,0,C1350,Gamma,6.0,6757,2,12191,typicality2
11,0,A450,Alpha,4.0,5875,2,12191,typicality2
12,0,C1050,Gamma,5.0,4548,2,12191,typicality2
13,0,A250,Alpha,5.0,2227,2,12191,typicality2
14,0,A350,Alpha,5.0,1884,2,12191,typicality2
