trial,block,stimId,category,response,rt,condition,id,phase
2,3,A250,Alpha,a,2766,2,12188,study
3,3,A350,Alpha,a,2835,2,12188,study
4,3,A150,Alpha,a,3713,2,12188,study
0,4,A50,Alpha,a,2964,2,12188,study
1,4,A250,Alpha,a,5995,2,12188,study
2,4,A350,Alpha,a,3626,2,12188,study
3,4,A150,Alpha,a,2264,2,12188,study
4,4,A450,Alpha,a,4229,2,12188,study
0,0,A450,Alpha,a,2779,2,12191,study
1,0,A50,Alpha,a,1322,2,12191,study
2,0,A250,Alpha,a,1042,2,12191,study
3,0,A150,Alpha,a,1358,2,12191,study
4,0,A350,Alpha,a,1444,2,12191,study
0,1,A150,Alpha,a,1115,2,12191,study
1,1,A250,Alpha,a,1433,2,12191,study
2,1,A50,Alpha,a,1611,2,12191,study
3,1,A450,Alpha,a,1505,2,12191,study
4,1,A350,Alpha,a,989,2,12191,study
0,2,A150,Alpha,a,1232,2,12191,study
1,2,A250,Alpha,a,1135,2,12191,study
2,2,A450,Alpha,a,880,2,12191,study
3,2,A50,Alpha,a,907,2,12191,study
4,2,A350,Alpha,a,1106,2,12191,study
0,3,A350,Alpha,a,906,2,12191,study
1,3,A450,Alpha,a,806,2,12191,study
2,3,A50,Alpha,a,861,2,12191,study
3,3,A150,Alpha,a,761,2,12191,study
4,3,A250,Alpha,a,898,2,12191,study
0,4,A250,Alpha,a,1373,2,12191,study
1,4,A150,Alpha,a,909,2,12191,study
2,4,A450,Alpha,a,841,2,12191,study
3,4,A350,Alpha,a,637,2,12191,study
4,4,A50,Alpha,a,806,2,12191,study
0,0,A250,Alpha,a,4989,2,12192,study
1,0,A50,Alpha,a,2750,2,12192,study
2,0,A450,Alpha,a,1018,2,12192,study
3,0,A150,Alpha,a,1165,2,12192,study
4,0,A350,Alpha,a,2078,2,12192,study
0,1,A350,Alpha,a,1918,2,12192,study
1,1,A450,Alpha,a,1033,2,12192,study
2,1,A150,Alpha,a,1040,2,12192,study
3,1,A250,Alpha,a,1469,2,12192,study
4,1,A50,Alpha,a,1019,2,12192,study
0,2,A450,Alpha,a,1346,2,12192,study
1,2,A50,Alpha,a,897,2,12192,study
2,2,A350,Alpha,a,852,2,12192,study
3,2,A150,Alpha,a,1275,2,12192,study
4,2,A250,Alpha,a,1200,2,12192,study
