trial,block,stimId1,stimID2,category1,category2,response,rt,condition,id,phase
1,0,C1450,A450,Alpha,Alpha,0.0,4779,3,12141,similarity
2,0,C1450,A350,Gamma,Alpha,0.0,1846,3,12141,similarity
3,0,C1450,B850,Gamma,Beta,2.0,2938,3,12141,similarity
4,0,C1450,C1250,Gamma,Gamma,5.0,2162,3,12141,similarity
5,0,C1450,C1050,Gamma,Gamma,4.0,2122,3,12141,similarity
6,0,C1450,C1350,Gamma,Gamma,6.0,2234,3,12141,similarity
7,0,C1450,B550,Gamma,Beta,0.9999999999999998,2570,3,12141,similarity
8,0,C1450,B750,Gamma,Beta,2.0,1994,3,12141,similarity
9,0,C1450,C1150,Gamma,Gamma,5.0,2363,3,12141,similarity
10,0,C1450,B950,Gamma, Beta,3.0,2147,3,12141,similarity
11,0,C1450,A50,Gamma,Alpha,0.0,1834,3,12141,similarity
12,0,C1450,A150,Gamma,Alpha,0.0,1914,3,12141,similarity
13,0,C1450,B650,Gamma,Beta,0.9999999999999998,2290,3,12141,similarity
14,0,C1450,A250,Gamma,Alpha,0.9999999999999998,1802,3,12141,similarity
2,1,A450,A350,Alpha,Alpha,5.0,2691,3,12141,similarity
3,1,A450,B850,Alpha,Beta,2.0,2491,3,12141,similarity
4,1,A450,C1250,Alpha,Gamma,0.9999999999999998,2569,3,12141,similarity
5,1,A450,C1050,Alpha,Gamma,0.9999999999999998,2362,3,12141,similarity
6,1,A450,C1350,Alpha,Gamma,0.0,2057,3,12141,similarity
7,1,A450,B550,Alpha,Beta,6.0,2171,3,12141,similarity
8,1,A450,B750,Alpha,Beta,5.0,1979,3,12141,similarity
9,1,A450,C1150,Alpha,Gamma,2.0,2188,3,12141,similarity
10,1,A450,B950,Alpha, Beta,2.0,1547,3,12141,similarity
11,1,A450,A50,Alpha,Alpha,2.0,2699,3,12141,similarity
12,1,A450,A150,Alpha,Alpha,3.0,2043,3,12141,similarity
13,1,A450,B650,Alpha,Beta,4.0,1867,3,12141,similarity
14,1,A450,A250,Alpha,Alpha,5.0,2179,3,12141,similarity
3,2,A350,B850,Alpha,Beta,2.0,1611,3,12141,similarity
4,2,A350,C1250,Alpha,Gamma,0.9999999999999998,2363,3,12141,similarity
5,2,A350,C1050,Alpha,Gamma,0.9999999999999998,1675,3,12141,similarity
6,2,A350,C1350,Alpha,Gamma,0.0,2665,3,12141,similarity
7,2,A350,B550,Alpha,Beta,5.0,2227,3,12141,similarity
8,2,A350,B750,Alpha,Beta,3.0,1627,3,12141,similarity
9,2,A350,C1150,Alpha,Gamma,0.9999999999999998,2331,3,12141,similarity
10,2,A350,B950,Alpha, Beta,0.9999999999999998,1193,3,12141,similarity
11,2,A350,A50,Alpha,Alpha,2.0,2178,3,12141,similarity
12,2,A350,A150,Alpha,Alpha,3.0,2834,3,12141,similarity
13,2,A350,B650,Alpha,Beta,4.0,1802,3,12141,similarity
14,2,A350,A250,Alpha,Alpha,5.0,2074,3,12141,similarity
4,3,B850,C1250,Beta,Gamma,4.0,2177,3,12141,similarity
5,3,B850,C1050,Beta,Gamma,5.0,1755,3,12141,similarity
6,3,B850,C1350,Beta,Gamma,2.0,1898,3,12141,similarity
7,3,B850,B550,Beta,Beta,3.0,1306,3,12141,similarity
8,3,B850,B750,Beta,Beta,6.0,1906,3,12141,similarity
9,3,B850,C1150,Beta,Gamma,5.0,2331,3,12141,similarity
10,3,B850,B950,Beta, Beta,6.0,1666,3,12141,similarity
11,3,B850,A50,Beta,Alpha,0.0,2108,3,12141,similarity
12,3,B850,A150,Beta,Alpha,0.9999999999999998,1944,3,12141,similarity
13,3,B850,B650,Beta,Beta,5.0,1844,3,12141,similarity
14,3,B850,A250,Beta,Alpha,2.0,1747,3,12141,similarity
5,4,C1250,C1050,Gamma,Gamma,6.0,1787,3,12141,similarity
6,4,C1250,C1350,Gamma,Gamma,6.0,1338,3,12141,similarity
7,4,C1250,B550,Gamma,Beta,3.0,2255,3,12141,similarity
8,4,C1250,B750,Gamma,Beta,3.0,1563,3,12141,similarity
9,4,C1250,C1150,Gamma,Gamma,6.0,3923,3,12141,similarity
10,4,C1250,B950,Gamma, Beta,5.0,2283,3,12141,similarity
11,4,C1250,A50,Gamma,Alpha,0.0,1715,3,12141,similarity
12,4,C1250,A150,Gamma,Alpha,0.0,1804,3,12141,similarity
13,4,C1250,B650,Gamma,Beta,2.0,1587,3,12141,similarity
14,4,C1250,A250,Gamma,Alpha,0.9999999999999998,1832,3,12141,similarity
6,5,C1050,C1350,Gamma,Gamma,3.0,1562,3,12141,similarity
7,5,C1050,B550,Gamma,Beta,4.0,1603,3,12141,similarity
8,5,C1050,B750,Gamma,Beta,4.0,1170,3,12141,similarity
9,5,C1050,C1150,Gamma,Gamma,5.0,1348,3,12141,similarity
10,5,C1050,B950,Gamma, Beta,5.0,1148,3,12141,similarity
11,5,C1050,A50,Gamma,Alpha,0.0,1867,3,12141,similarity
12,5,C1050,A150,Gamma,Alpha,0.9999999999999998,1586,3,12141,similarity
13,5,C1050,B650,Gamma,Beta,2.0,1692,3,12141,similarity
14,5,C1050,A250,Gamma,Alpha,0.9999999999999998,1459,3,12141,similarity
7,6,C1350,B550,Gamma,Beta,0.9999999999999998,1906,3,12141,similarity
8,6,C1350,B750,Gamma,Beta,2.0,1498,3,12141,similarity
9,6,C1350,C1150,Gamma,Gamma,5.0,1867,3,12141,similarity
10,6,C1350,B950,Gamma, Beta,4.0,1538,3,12141,similarity
11,6,C1350,A50,Gamma,Alpha,0.0,1778,3,12141,similarity
12,6,C1350,A150,Gamma,Alpha,0.9999999999999998,2435,3,12141,similarity
13,6,C1350,B650,Gamma,Beta,2.0,2171,3,12141,similarity
14,6,C1350,A250,Gamma,Alpha,0.9999999999999998,2843,3,12141,similarity
8,7,B550,B750,Beta,Beta,4.0,2531,3,12141,similarity
9,7,B550,C1150,Beta,Gamma,2.0,1490,3,12141,similarity
