trial,block,stimId,category,response,accuracy,rt,condition,id,phase
0,0,C1350,Gamma,Beta,False,3125,2,12143,trainPhase
1,0,A250,Alpha,Alpha,True,1443,2,12143,trainPhase
2,0,C1450,Gamma,Gamma,True,1037,2,12143,trainPhase
3,0,B650,Beta,Beta,True,1626,2,12143,trainPhase
4,0,B550,Beta,Beta,True,1479,2,12143,trainPhase
5,0,B850,Beta,Beta,True,913,2,12143,trainPhase
6,0,C1150,Gamma,Gamma,True,955,2,12143,trainPhase
7,0,B950,Beta,Beta,True,11958,2,12143,trainPhase
8,0,A50,Alpha,Alpha,True,812,2,12143,trainPhase
9,0,C1050,Gamma,Gamma,True,905,2,12143,trainPhase
10,0,C1250,Gamma,Gamma,True,824,2,12143,trainPhase
11,0,A450,Alpha,Beta,False,605,2,12143,trainPhase
12,0,A150,Alpha,Alpha,True,733,2,12143,trainPhase
13,0,B750,Beta,Beta,True,727,2,12143,trainPhase
14,0,A350,Alpha,Alpha,True,836,2,12143,trainPhase
0,1,C1050,Gamma,Gamma,True,9286,2,12143,trainPhase
1,1,A450,Alpha,Beta,False,773,2,12143,trainPhase
2,1,A150,Alpha,Alpha,True,900,2,12143,trainPhase
3,1,A50,Alpha,Alpha,True,1266,2,12143,trainPhase
4,1,A350,Alpha,Alpha,True,716,2,12143,trainPhase
5,1,B750,Beta,Beta,True,661,2,12143,trainPhase
6,1,C1250,Gamma,Gamma,True,824,2,12143,trainPhase
7,1,B950,Beta,Gamma,False,878,2,12143,trainPhase
8,1,B550,Beta,Beta,True,742,2,12143,trainPhase
9,1,B850,Beta,Gamma,False,823,2,12143,trainPhase
10,1,A250,Alpha,Alpha,True,679,2,12143,trainPhase
11,1,B650,Beta,Beta,True,937,2,12143,trainPhase
12,1,C1150,Gamma,Gamma,True,627,2,12143,trainPhase
13,1,C1450,Gamma,Gamma,True,694,2,12143,trainPhase
14,1,C1350,Gamma,Gamma,True,885,2,12143,trainPhase
0,2,A450,Alpha,Alpha,True,1222,2,12143,trainPhase
1,2,C1250,Gamma,Gamma,True,621,2,12143,trainPhase
2,2,B950,Beta,Gamma,False,635,2,12143,trainPhase
3,2,A150,Alpha,Alpha,True,704,2,12143,trainPhase
4,2,B650,Beta,Beta,True,852,2,12143,trainPhase
5,2,B850,Beta,Gamma,False,678,2,12143,trainPhase
6,2,B550,Beta,Beta,True,989,2,12143,trainPhase
7,2,A250,Alpha,Alpha,True,1125,2,12143,trainPhase
8,2,C1150,Gamma,Gamma,True,895,2,12143,trainPhase
9,2,A350,Alpha,Alpha,True,1105,2,12143,trainPhase
10,2,B750,Beta,Beta,True,5557,2,12143,trainPhase
11,2,C1350,Gamma,Gamma,True,551,2,12143,trainPhase
12,2,C1450,Gamma,Gamma,True,651,2,12143,trainPhase
13,2,C1050,Gamma,Beta,False,715,2,12143,trainPhase
14,2,A50,Alpha,Alpha,True,652,2,12143,trainPhase
0,3,B550,Beta,Beta,True,562,2,12143,trainPhase
1,3,A250,Alpha,Alpha,True,709,2,12143,trainPhase
2,3,A150,Alpha,Alpha,True,592,2,12143,trainPhase
3,3,C1050,Gamma,Gamma,True,696,2,12143,trainPhase
4,3,A450,Alpha,Beta,False,627,2,12143,trainPhase
5,3,C1250,Gamma,Gamma,True,854,2,12143,trainPhase
6,3,C1450,Gamma,Gamma,True,904,2,12143,trainPhase
7,3,C1350,Gamma,Gamma,True,941,2,12143,trainPhase
8,3,B650,Beta,Beta,True,759,2,12143,trainPhase
9,3,B850,Beta,Beta,True,743,2,12143,trainPhase
